,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
0,Roger Federer,8.0,54.0,3.0,38.0,11.0,1.0,2,2004
1,Andy Roddick,8.333333333333334,47.0,3.0,31.333333333333332,10.666666666666666,2.0,5,2004
2,Juan Carlos Ferrero,1.5,41.75,2.5,23.25,9.75,3.0,4,2004
3,Guillermo Coria,3.5,80.0,5.0,47.5,12.5,3.0,2,2004
4,Tim Henman,3.0,39.0,4.25,25.5,9.25,4.0,5,2004
5,Carlos Moya,3.0,37.142857142857146,2.7142857142857144,25.571428571428573,7.142857142857143,4.0,8,2004
6,Rainer Schuettler,2.5555555555555554,54.0,2.4444444444444446,34.22222222222222,9.777777777777779,5.0,10,2004
7,Andre Agassi,5.0,49.0,1.5,34.0,8.0,6.0,2,2004
8,David Nalbandian,1.2,46.8,2.0,24.4,8.6,6.0,5,2004
9,Sebastien Grosjean,3.75,39.25,1.25,27.75,12.5,10.0,4,2004
10,Gaston Gaudio,1.3333333333333333,56.0,3.3333333333333335,33.416666666666664,11.166666666666666,11.0,12,2004
11,Nicolas Massu,2.5,45.857142857142854,2.9285714285714284,28.928571428571427,10.142857142857142,11.0,14,2004
12,Mark Philippoussis,5.0,45.0,7.0,29.666666666666668,8.0,12.0,4,2004
13,Paradorn Srichaphan,3.4,47.2,3.6,29.2,10.0,12.0,6,2004
14,Lleyton Hewitt,2.8333333333333335,49.0,4.833333333333333,29.5,13.166666666666666,12.0,6,2004
15,Marat Safin,5.166666666666667,47.166666666666664,1.6666666666666667,32.0,7.666666666666667,13.0,6,2004
16,Tommy Robredo,1.7142857142857142,48.714285714285715,3.0,31.428571428571427,9.428571428571429,13.0,8,2004
17,Jiri Novak,4.125,47.0,2.75,31.125,9.375,14.0,9,2004
18,Sjeng Schalken,0.5,45.5,2.5,25.5,8.75,14.0,6,2004
19,Fernando Gonzalez,2.5714285714285716,54.142857142857146,3.857142857142857,37.0,8.571428571428571,14.0,7,2004
20,Martin Verkerk,10.0,62.57142857142857,4.857142857142857,43.57142857142857,10.857142857142858,14.0,9,2004
21,Juan Ignacio Chela,2.090909090909091,49.18181818181818,2.909090909090909,30.90909090909091,8.636363636363637,16.0,11,2004
22,Andrei Pavel,1.875,66.0,1.25,43.5,9.625,17.0,9,2004
23,Gustavo Kuerten,5.0,47.4,3.0,31.4,9.0,17.0,5,2004
24,Mardy Fish,4.0,35.0,9.0,23.0,16.0,18.0,2,2004
25,Agustin Calleri,7.25,51.0,3.75,34.625,9.5,21.0,8,2004
26,Feliciano Lopez,3.7777777777777777,39.888888888888886,2.7777777777777777,27.11111111111111,8.666666666666666,22.0,10,2004
27,Dominik Hrbaty,2.3333333333333335,50.5,3.3333333333333335,34.5,7.833333333333333,24.0,6,2004
28,Arnaud Clement,3.6,57.2,5.0,39.0,12.0,26.0,6,2004
29,Jonas Bjorkman,3.2,34.6,4.4,22.4,8.6,26.0,5,2004
30,Mariano Zabaleta,2.230769230769231,48.69230769230769,2.923076923076923,31.076923076923077,9.384615384615385,26.0,13,2004
31,Ivan Ljubicic,5.4,42.4,1.8,27.6,7.0,27.0,6,2004
32,Albert Costa,3.4166666666666665,49.333333333333336,2.0833333333333335,29.25,10.0,27.0,12,2004
33,Vincent Spadea,2.142857142857143,53.285714285714285,2.857142857142857,34.42857142857143,10.142857142857142,28.0,8,2004
34,Max Mirnyi,6.0,51.2,5.8,36.8,7.8,29.0,5,2004
35,Jarkko Nieminen,0.0,37.0,2.0,26.0,4.0,30.0,2,2004
36,Nicolas Kiefer,2.5,42.5,4.5,30.5,12.0,32.0,4,2004
37,Felix Mantilla,1.4285714285714286,57.857142857142854,3.857142857142857,35.285714285714285,13.714285714285714,32.0,7,2004
38,Joachim Johansson,5.6,46.4,5.4,30.0,8.4,32.0,5,2004
39,Taylor Dent,4.0,55.5,5.25,33.5,9.75,32.0,4,2004
40,Rafael Nadal,0.6666666666666666,54.0,0.3333333333333333,28.666666666666668,10.0,34.0,4,2004
