,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
0,Roger Federer,5.5,44.92857142857143,1.9285714285714286,35.785714285714285,3.7857142857142856,1.0,16,2004
1,Andy Roddick,8.6,43.6,1.0,33.0,1.6,2.0,5,2004
2,Juan Carlos Ferrero,3.0,48.75,3.5,36.5,6.5,3.0,7,2004
3,Guillermo Coria,1.5,47.72727272727273,2.5,33.40909090909091,4.7272727272727275,3.0,22,2004
4,Tim Henman,6.0,56.27272727272727,4.636363636363637,42.18181818181818,6.636363636363637,4.0,12,2004
5,Carlos Moya,4.827586206896552,40.827586206896555,2.206896551724138,31.620689655172413,4.586206896551724,4.0,34,2004
6,Rainer Schuettler,4.0,39.0,2.5384615384615383,27.076923076923077,6.3076923076923075,5.0,15,2004
7,David Nalbandian,3.8,51.6,3.466666666666667,36.53333333333333,6.933333333333334,8.0,15,2004
8,Marat Safin,6.875,42.75,2.4375,32.1875,6.375,9.0,17,2004
9,Nicolas Massu,3.5,35.5,2.0,26.916666666666668,4.291666666666667,10.0,29,2004
10,Sebastien Grosjean,5.0,33.0,2.0,26.333333333333332,6.0,10.0,3,2004
11,Gaston Gaudio,2.4838709677419355,49.45161290322581,2.5483870967741935,34.806451612903224,5.903225806451613,11.0,31,2004
12,Lleyton Hewitt,4.153846153846154,50.38461538461539,4.769230769230769,35.53846153846154,9.23076923076923,12.0,13,2004
13,Paradorn Srichaphan,4.5,67.5,5.0,48.0,11.5,13.0,2,2004
14,Fernando Gonzalez,5.95,40.45,2.8,31.1,4.4,14.0,25,2004
15,Jiri Novak,5.384615384615385,43.53846153846154,1.2307692307692308,32.0,5.230769230769231,14.0,14,2004
16,Martin Verkerk,13.214285714285714,50.857142857142854,4.0,39.642857142857146,4.642857142857143,14.0,16,2004
17,Sjeng Schalken,4.0,59.0,3.0,40.0,9.0,15.0,3,2004
18,Andrei Pavel,3.0833333333333335,40.166666666666664,1.0,29.666666666666668,4.166666666666667,15.0,15,2004
19,Juan Ignacio Chela,2.25,43.55,2.05,30.15,5.65,16.0,22,2004
20,Tommy Robredo,4.071428571428571,48.5,3.142857142857143,35.07142857142857,6.928571428571429,17.0,15,2004
21,Gustavo Kuerten,8.0,48.53333333333333,2.466666666666667,36.46666666666667,5.666666666666667,17.0,15,2004
22,Mark Philippoussis,9.666666666666666,65.0,6.666666666666667,50.0,9.333333333333334,18.0,3,2004
23,Agustin Calleri,7.0,35.333333333333336,2.2222222222222223,28.333333333333332,3.888888888888889,21.0,9,2004
24,Feliciano Lopez,9.666666666666666,45.666666666666664,4.444444444444445,34.0,6.444444444444445,22.0,9,2004
25,Dominik Hrbaty,3.5,36.333333333333336,2.8333333333333335,27.833333333333332,6.5,24.0,6,2004
26,Jonas Bjorkman,4.0,64.5,4.0,40.5,18.0,26.0,2,2004
27,Albert Costa,3.4615384615384617,48.53846153846154,1.0769230769230769,34.84615384615385,5.0,27.0,14,2004
28,Ivan Ljubicic,9.555555555555555,50.22222222222222,2.4444444444444446,38.666666666666664,5.444444444444445,27.0,10,2004
29,Mariano Zabaleta,4.0,40.82608695652174,2.739130434782609,30.47826086956522,4.3478260869565215,28.0,23,2004
30,Vincent Spadea,4.4,58.2,3.0,38.6,12.0,28.0,5,2004
31,Max Mirnyi,3.3333333333333335,40.666666666666664,2.0,31.333333333333332,2.6666666666666665,29.0,3,2004
32,Arnaud Clement,,,,,,30.0,2,2004
33,Jarkko Nieminen,1.5,50.5,2.0,32.0,9.0,30.0,2,2004
34,Nicolas Kiefer,5.0,36.666666666666664,3.6666666666666665,26.666666666666668,7.0,32.0,3,2004
35,Taylor Dent,4.5,40.0,6.0,30.0,3.5,32.0,2,2004
36,Mikhail Youzhny,6.666666666666667,56.5,2.8333333333333335,39.666666666666664,8.666666666666666,33.0,7,2004
37,Rafael Nadal,1.5,43.916666666666664,2.0833333333333335,30.5,5.0,34.0,14,2004
38,Luis Horna,4.0588235294117645,46.23529411764706,2.176470588235294,33.8235294117647,3.9411764705882355,35.0,18,2004
39,Felix Mantilla,3.2857142857142856,40.714285714285715,3.5714285714285716,30.142857142857142,5.428571428571429,36.0,7,2004
40,Florian Mayer,4.222222222222222,46.22222222222222,2.5555555555555554,33.0,5.555555555555555,36.0,9,2004
41,Mardy Fish,,,,,,37.0,1,2004
42,Fernando Verdasco,3.4,41.86666666666667,2.0,31.2,2.933333333333333,38.0,15,2004
43,Robby Ginepri,,,,,,39.0,1,2004
44,Igor Andreev,3.4285714285714284,45.42857142857143,2.5714285714285716,32.07142857142857,5.071428571428571,40.0,15,2004
45,James Blake,4.0,42.5,1.0,32.0,3.5,40.0,2,2004
46,Irakli Labadze,4.0,57.0,5.666666666666667,41.0,8.0,42.0,10,2004
47,Guillermo Canas,4.285714285714286,37.642857142857146,2.2857142857142856,27.857142857142858,4.714285714285714,42.0,14,2004
48,Hicham Arazi,2.0,34.0,0.0,27.0,0.0,42.0,1,2004
49,Nikolay Davydenko,2.9444444444444446,39.888888888888886,2.111111111111111,29.555555555555557,4.555555555555555,43.0,19,2004
50,Filippo Volandri,0.92,45.6,1.96,30.24,6.28,43.0,28,2004
51,Flavio Saretta,3.3333333333333335,35.333333333333336,3.111111111111111,26.0,6.222222222222222,44.0,9,2004
52,Sargis Sargsian,3.0,45.0,2.5,34.0,2.5,46.0,2,2004
53,David Ferrer,2.0,49.09090909090909,1.8181818181818181,32.5,7.454545454545454,47.0,22,2004
54,Robin Soderling,5.0,51.0,0.3333333333333333,35.333333333333336,6.0,48.0,3,2004
55,Joachim Johansson,9.0,46.0,4.0,39.0,4.0,50.0,1,2004
56,David Sanchez,2.857142857142857,44.57142857142857,1.2857142857142858,31.642857142857142,6.428571428571429,50.0,15,2004
57,Jurgen Melzer,5.666666666666667,38.44444444444444,2.0,30.666666666666668,2.888888888888889,51.0,9,2004
58,Radek Stepanek,5.083333333333333,43.25,2.75,33.916666666666664,3.25,53.0,13,2004
59,Xavier Malisse,5.571428571428571,45.0,1.8571428571428572,31.428571428571427,7.428571428571429,54.0,9,2004
60,Tomas Berdych,5.5,39.75,1.75,31.0,3.25,55.0,9,2004
61,Alberto Martin,1.6,45.0,3.1333333333333333,31.2,7.2,56.0,15,2004
62,Ivo Karlovic,17.8,56.0,2.8,46.0,2.2,58.0,5,2004
63,Fabrice Santoro,6.5,71.5,2.0,48.25,11.0,58.0,4,2004
64,Nicolas Escude,8.5,45.0,2.75,35.5,5.75,61.0,5,2004
65,Olivier Rochus,1.25,42.0,1.375,28.875,5.625,63.0,8,2004
66,Todd Martin,6.666666666666667,49.666666666666664,2.6666666666666665,37.666666666666664,3.6666666666666665,63.0,3,2004
