,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
0,Andy Roddick,12.866666666666667,53.733333333333334,3.2,38.86666666666667,7.666666666666667,1.0,18,2004
1,Roger Federer,7.4,48.4,2.6,34.2,8.0,1.0,6,2004
2,Juan Carlos Ferrero,4.0,53.06666666666667,2.533333333333333,34.2,9.4,2.0,16,2004
3,Guillermo Coria,2.8461538461538463,56.15384615384615,2.8461538461538463,34.38461538461539,9.538461538461538,3.0,15,2004
4,Lleyton Hewitt,4.833333333333333,44.5,4.666666666666667,29.61111111111111,10.0,3.0,18,2004
5,Tim Henman,4.052631578947368,50.78947368421053,4.052631578947368,35.473684210526315,7.2631578947368425,4.0,22,2004
6,Carlos Moya,6.411764705882353,44.588235294117645,3.6470588235294117,30.470588235294116,7.529411764705882,4.0,19,2004
7,Andre Agassi,6.230769230769231,56.76923076923077,2.6923076923076925,40.53846153846154,7.769230769230769,4.0,13,2004
8,Marat Safin,9.19047619047619,52.476190476190474,2.1904761904761907,37.0,7.523809523809524,4.0,23,2004
9,Rainer Schuettler,3.357142857142857,53.035714285714285,3.3214285714285716,35.464285714285715,8.0,5.0,30,2004
10,David Nalbandian,3.142857142857143,58.642857142857146,2.5,36.357142857142854,10.714285714285714,6.0,14,2004
11,Mark Philippoussis,9.571428571428571,49.214285714285715,4.928571428571429,35.785714285714285,7.571428571428571,9.0,18,2004
12,Gaston Gaudio,2.0,54.25,3.2083333333333335,33.333333333333336,10.083333333333334,9.0,24,2004
13,Sebastien Grosjean,5.357142857142857,43.07142857142857,2.5714285714285716,31.214285714285715,9.785714285714286,10.0,15,2004
14,Paradorn Srichaphan,5.571428571428571,48.57142857142857,3.607142857142857,32.67857142857143,8.5,10.0,30,2004
15,Joachim Johansson,12.952380952380953,53.285714285714285,5.285714285714286,39.523809523809526,5.761904761904762,11.0,22,2004
16,Nicolas Massu,4.071428571428571,47.464285714285715,3.107142857142857,30.142857142857142,10.357142857142858,11.0,28,2004
17,Dominik Hrbaty,3.0416666666666665,48.625,3.3333333333333335,32.666666666666664,7.833333333333333,12.0,26,2004
18,Tommy Robredo,3.260869565217391,44.04347826086956,3.1739130434782608,28.52173913043478,8.956521739130435,12.0,26,2004
19,Andrei Pavel,4.363636363636363,57.09090909090909,1.5909090909090908,38.36363636363637,7.818181818181818,13.0,25,2004
20,Sjeng Schalken,1.263157894736842,48.10526315789474,1.736842105263158,29.0,6.526315789473684,14.0,21,2004
