,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,matches_won,year,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,matches_lost,W/L%
0,Andy Roddick,12.484848484848484,44.515151515151516,2.090909090909091,36.84848484848485,2.712121212121212,1.0,74,2004,12.866666666666667,53.733333333333334,3.2,38.86666666666667,7.666666666666667,1.0,18.0,0.8043478260869565
1,Roger Federer,7.6231884057971016,46.20289855072464,2.072463768115942,36.405797101449274,3.550724637681159,1.0,75,2004,7.4,48.4,2.6,34.2,8.0,1.0,6.0,0.9259259259259259
2,Juan Carlos Ferrero,7.2631578947368425,62.36842105263158,2.736842105263158,46.473684210526315,5.684210526315789,3.0,23,2004,4.0,53.06666666666667,2.533333333333333,34.2,9.4,2.0,16.0,0.5897435897435898
3,Guillermo Coria,2.4324324324324325,48.270270270270274,2.675675675675676,34.75675675675676,4.486486486486487,3.0,39,2004,2.8461538461538463,56.15384615384615,2.8461538461538463,34.38461538461539,9.538461538461538,3.0,15.0,0.7222222222222222
4,Lleyton Hewitt,6.606060606060606,38.60606060606061,3.3181818181818183,30.09090909090909,4.681818181818182,3.0,68,2004,4.833333333333333,44.5,4.666666666666667,29.61111111111111,10.0,3.0,18.0,0.7906976744186046
5,Tim Henman,6.975609756097561,51.48780487804878,4.170731707317073,39.31707317073171,4.951219512195122,4.0,44,2004,4.052631578947368,50.78947368421053,4.052631578947368,35.473684210526315,7.2631578947368425,4.0,22.0,0.6666666666666666
6,Carlos Moya,7.4423076923076925,43.30769230769231,2.3653846153846154,34.21153846153846,4.4423076923076925,4.0,60,2004,6.411764705882353,44.588235294117645,3.6470588235294117,30.470588235294116,7.529411764705882,4.0,19.0,0.759493670886076
7,Andre Agassi,7.216216216216216,41.37837837837838,2.1621621621621623,32.486486486486484,3.6216216216216215,4.0,37,2004,6.230769230769231,56.76923076923077,2.6923076923076925,40.53846153846154,7.769230769230769,4.0,13.0,0.74
8,Marat Safin,10.270833333333334,44.958333333333336,2.2083333333333335,35.625,4.520833333333333,4.0,52,2004,9.19047619047619,52.476190476190474,2.1904761904761907,37.0,7.523809523809524,4.0,23.0,0.6933333333333334
9,Rainer Schuettler,4.76,44.8,2.56,32.56,5.68,5.0,29,2004,3.357142857142857,53.035714285714285,3.3214285714285716,35.464285714285715,8.0,5.0,30.0,0.4915254237288136
10,David Nalbandian,4.484848484848484,48.333333333333336,3.0,35.21212121212121,5.9393939393939394,8.0,34,2004,3.142857142857143,58.642857142857146,2.5,36.357142857142854,10.714285714285714,6.0,14.0,0.7083333333333334
11,Mark Philippoussis,15.636363636363637,59.36363636363637,6.090909090909091,49.09090909090909,5.818181818181818,9.0,11,2004,9.571428571428571,49.214285714285715,4.928571428571429,35.785714285714285,7.571428571428571,9.0,18.0,0.3793103448275862
12,Gaston Gaudio,2.6216216216216215,49.21621621621622,2.7837837837837838,34.945945945945944,5.8108108108108105,9.0,37,2004,2.0,54.25,3.2083333333333335,33.333333333333336,10.083333333333334,9.0,24.0,0.6065573770491803
