,winner_name,w_ace,w_1stIn%,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
0,Andy Roddick,12.484848484848484,0.6422009030747369,2.090909090909091,36.84848484848485,2.712121212121212,1.0,74,2004
1,Roger Federer,7.6231884057971016,0.6204896757223716,2.072463768115942,36.405797101449274,3.550724637681159,1.0,75,2004
2,Juan Carlos Ferrero,7.2631578947368425,0.6229400006169621,2.736842105263158,46.473684210526315,5.684210526315789,3.0,23,2004
3,Guillermo Coria,2.4324324324324325,0.6681510463853177,2.675675675675676,34.75675675675676,4.486486486486487,3.0,39,2004
4,Lleyton Hewitt,6.606060606060606,0.5432580289886683,3.3181818181818183,30.09090909090909,4.681818181818182,3.0,68,2004
5,Tim Henman,6.975609756097561,0.5889998362266124,4.170731707317073,39.31707317073171,4.951219512195122,4.0,44,2004
6,Carlos Moya,7.4423076923076925,0.5730555384196295,2.3653846153846154,34.21153846153846,4.4423076923076925,4.0,60,2004
7,Andre Agassi,7.216216216216216,0.6109686026572984,2.1621621621621623,32.486486486486484,3.6216216216216215,4.0,37,2004
8,Marat Safin,10.270833333333334,0.5614744179763467,2.2083333333333335,35.625,4.520833333333333,4.0,52,2004
9,Rainer Schuettler,4.76,0.5823470472473755,2.56,32.56,5.68,5.0,29,2004
10,David Nalbandian,4.484848484848484,0.5942580445994665,3.0,35.21212121212121,5.9393939393939394,8.0,34,2004
11,Mark Philippoussis,15.636363636363637,0.580307984280829,6.090909090909091,49.09090909090909,5.818181818181818,9.0,11,2004
12,Gaston Gaudio,2.6216216216216215,0.6302418325348872,2.7837837837837838,34.945945945945944,5.8108108108108105,9.0,37,2004
13,Nicolas Massu,4.032258064516129,0.5961297054358217,1.8387096774193548,27.64516129032258,3.870967741935484,10.0,42,2004
14,Paradorn Srichaphan,6.595238095238095,0.5957793541444558,2.619047619047619,32.73809523809524,4.5,10.0,44,2004
15,Sebastien Grosjean,7.56,0.5243517892639645,1.68,32.0,4.76,10.0,28,2004
16,Joachim Johansson,17.558823529411764,0.642156691406761,4.264705882352941,42.76470588235294,2.8529411764705883,11.0,35,2004
17,Tommy Robredo,4.846153846153846,0.5987836669886557,3.128205128205128,37.38461538461539,5.948717948717949,12.0,43,2004
18,Andrei Pavel,6.612903225806452,0.6337510729098793,1.903225806451613,39.38709677419355,5.967741935483871,13.0,34,2004
19,Guillermo Canas,5.151515151515151,0.5755356640591301,2.6666666666666665,28.0,4.03030303030303,14.0,33,2004
20,Fernando Gonzalez,6.46875,0.5989770346683129,3.125,33.03125,4.3125,14.0,42,2004
21,Martin Verkerk,13.416666666666666,0.6032995378752379,4.416666666666667,38.291666666666664,4.333333333333333,14.0,26,2004
22,Jiri Novak,5.157894736842105,0.666801504534534,1.368421052631579,35.026315789473685,4.447368421052632,14.0,42,2004
23,Sjeng Schalken,4.0588235294117645,0.7478907439952797,1.7058823529411764,45.294117647058826,5.117647058823529,15.0,19,2004
24,Juan Ignacio Chela,2.909090909090909,0.6431479080821346,1.9696969696969697,33.63636363636363,5.757575757575758,16.0,35,2004
25,Gustavo Kuerten,9.130434782608695,0.5557371985921681,2.739130434782609,37.608695652173914,6.0,17.0,23,2004
26,Dominik Hrbaty,5.384615384615385,0.6442296326652445,2.6923076923076925,36.69230769230769,5.9743589743589745,17.0,43,2004
27,Nicolas Kiefer,7.484848484848484,0.5536950190158966,3.0303030303030303,33.39393939393939,5.212121212121212,18.0,37,2004
28,Mardy Fish,10.047619047619047,0.5496595720063334,3.619047619047619,30.952380952380953,4.428571428571429,18.0,29,2004
29,Tommy Haas,8.409090909090908,0.5657102875867883,3.227272727272727,35.04545454545455,4.409090909090909,18.0,24,2004
30,Mikhail Youzhny,5.868421052631579,0.5802312224667524,2.4473684210526314,33.86842105263158,5.394736842105263,20.0,42,2004
31,Agustin Calleri,8.052631578947368,0.5780306732483308,2.526315789473684,32.36842105263158,4.631578947368421,20.0,21,2004
32,Vincent Spadea,4.384615384615385,0.5894851916315601,2.4615384615384617,34.256410256410255,5.743589743589744,21.0,40,2004
33,Felix Mantilla,3.6,0.5939607529001989,3.3,29.2,5.5,22.0,10,2004
34,Taylor Dent,7.571428571428571,0.5874653984883871,5.75,33.357142857142854,4.392857142857143,22.0,32,2004
35,Feliciano Lopez,11.333333333333334,0.5672289410326594,3.2,38.43333333333333,4.866666666666666,22.0,33,2004
36,Max Mirnyi,9.15,0.664213244747234,2.35,36.9,3.25,22.0,26,2004
37,Ivan Ljubicic,12.030303030303031,0.594738099588727,2.4545454545454546,37.36363636363637,4.03030303030303,23.0,37,2004
38,Albert Costa,5.2631578947368425,0.6198979304975969,1.4736842105263157,37.31578947368421,5.2105263157894735,23.0,20,2004
39,Arnaud Clement,6.0,0.6051965892237559,2.0,34.36363636363637,3.0,25.0,15,2004
