,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
0,Andy Roddick,11.0,81.0,5.0,60.0,10.0,2.0,1,2004
1,Guillermo Coria,3.6666666666666665,56.333333333333336,4.333333333333333,37.0,10.666666666666666,3.0,3,2004
2,Juan Carlos Ferrero,2.0,65.0,2.0,37.0,13.0,5.0,1,2004
3,Tim Henman,4.5,68.5,5.5,49.5,7.5,5.0,2,2004
4,Carlos Moya,14.0,82.0,5.0,52.0,12.0,7.0,1,2004
5,Rainer Schuettler,2.6666666666666665,54.666666666666664,3.6666666666666665,38.0,5.666666666666667,8.0,3,2004
6,Andre Agassi,5.0,56.0,1.0,46.0,0.0,9.0,1,2004
7,Lleyton Hewitt,6.0,47.5,4.5,32.0,9.5,10.0,2,2004
8,Nicolas Massu,9.0,57.0,5.0,39.0,17.0,12.0,1,2004
9,Sebastien Grosjean,3.0,53.0,2.0,36.5,8.0,13.0,2,2004
10,Paradorn Srichaphan,7.5,57.5,3.5,36.5,11.5,14.0,2,2004
11,Marat Safin,10.5,78.0,4.5,53.0,10.0,15.0,2,2004
12,Jiri Novak,1.5,50.5,2.0,34.5,6.5,16.0,2,2004
13,Sjeng Schalken,3.0,72.66666666666667,2.0,49.333333333333336,4.333333333333333,16.0,3,2004
14,Mark Philippoussis,17.0,71.5,6.0,53.0,4.0,17.0,2,2004
15,Juan Ignacio Chela,8.0,110.0,2.0,72.0,15.0,18.0,1,2004
16,Tommy Robredo,3.0,53.5,1.0,30.0,8.0,19.0,2,2004
17,Mardy Fish,14.0,59.5,3.0,40.0,9.0,20.0,2,2004
18,Andrei Pavel,5.0,67.0,2.5,45.5,7.5,20.0,2,2004
19,Feliciano Lopez,9.5,57.0,3.5,48.0,1.5,21.0,2,2004
20,Dominik Hrbaty,3.0,59.5,2.0,39.0,10.0,25.0,3,2004
21,Vincent Spadea,2.6666666666666665,56.666666666666664,3.6666666666666665,39.0,9.333333333333334,25.0,3,2004
22,Fernando Gonzalez,17.0,80.0,9.0,59.0,11.0,26.0,1,2004
23,Jonas Bjorkman,9.666666666666666,68.33333333333333,4.333333333333333,50.333333333333336,7.666666666666667,27.0,3,2004
24,Max Mirnyi,15.0,58.0,4.333333333333333,42.666666666666664,6.0,28.0,3,2004
25,Ivan Ljubicic,10.5,62.5,2.0,43.5,9.0,29.0,2,2004
26,Taylor Dent,6.333333333333333,65.33333333333333,4.333333333333333,47.0,7.0,31.0,3,2004
27,Nicolas Kiefer,13.0,60.5,6.0,44.5,7.5,31.0,2,2004
28,Mikhail Youzhny,5.666666666666667,43.666666666666664,1.0,25.333333333333332,9.0,34.0,3,2004
29,Robby Ginepri,3.5,54.5,1.0,34.0,9.0,34.0,2,2004
30,Hicham Arazi,4.0,60.0,2.0,40.0,10.0,35.0,2,2004
31,Luis Horna,1.0,100.0,5.0,67.0,13.0,36.0,1,2004
32,Robin Soderling,11.0,57.666666666666664,4.0,43.333333333333336,6.333333333333333,37.0,3,2004
33,Arnaud Clement,4.333333333333333,48.0,2.0,35.333333333333336,5.333333333333333,37.0,3,2004
34,Fernando Verdasco,3.6666666666666665,48.333333333333336,6.333333333333333,34.333333333333336,7.666666666666667,40.0,3,2004
35,Jurgen Melzer,3.6666666666666665,43.666666666666664,4.0,28.666666666666668,8.333333333333334,42.0,3,2004
36,Joachim Johansson,14.666666666666666,61.333333333333336,8.0,49.0,7.333333333333333,43.0,3,2004
37,James Blake,7.0,30.0,5.0,19.0,11.0,43.0,1,2004
38,Irakli Labadze,3.5,40.0,7.0,26.0,10.5,45.0,2,2004
39,Filippo Volandri,5.5,74.5,4.0,51.0,8.0,45.0,2,2004
40,Sargis Sargsian,8.0,61.333333333333336,4.333333333333333,45.333333333333336,6.666666666666667,48.0,3,2004
41,David Ferrer,4.666666666666667,84.66666666666667,3.3333333333333335,55.0,12.666666666666666,49.0,3,2004
42,Wayne Ferreira,10.5,56.0,4.0,39.5,6.0,50.0,3,2004
43,Xavier Malisse,5.5,43.5,2.0,29.5,9.0,50.0,2,2004
44,Michael Llodra,19.0,81.0,4.0,59.0,6.0,50.0,1,2004
45,Fabrice Santoro,5.0,45.0,1.0,26.0,11.0,53.0,1,2004
46,David Sanchez,3.0,45.0,1.0,27.0,8.0,54.0,1,2004
47,Martin Verkerk,12.0,50.666666666666664,6.0,40.333333333333336,5.0,55.0,3,2004
