,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,matches_won,year,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,matches_lost,W/L%
0,Roger Federer,7.583333333333333,49.416666666666664,2.0,38.416666666666664,3.4166666666666665,1.0,12,2004,,,,,,,,
1,Andy Roddick,12.909090909090908,52.81818181818182,3.090909090909091,43.18181818181818,3.272727272727273,2.0,11,2004,11.0,81.0,5.0,60.0,10.0,2.0,1.0,0.9166666666666666
2,Lleyton Hewitt,7.285714285714286,45.57142857142857,4.714285714285714,38.714285714285715,5.142857142857143,3.0,8,2004,6.0,47.5,4.5,32.0,9.5,10.0,2.0,0.8
3,Guillermo Coria,6.4,55.2,4.6,42.4,4.2,3.0,5,2004,3.6666666666666665,56.333333333333336,4.333333333333333,37.0,10.666666666666666,3.0,3.0,0.625
4,Juan Carlos Ferrero,4.0,102.0,4.5,73.0,8.0,5.0,2,2004,2.0,65.0,2.0,37.0,13.0,5.0,1.0,0.6666666666666666
5,Tim Henman,11.25,72.0,6.5,55.25,7.0,6.0,4,2004,4.5,68.5,5.5,49.5,7.5,5.0,2.0,0.6666666666666666
6,Carlos Moya,19.666666666666668,69.0,5.666666666666667,58.666666666666664,5.333333333333333,7.0,3,2004,14.0,82.0,5.0,52.0,12.0,7.0,1.0,0.75
7,Rainer Schuettler,5.6,66.8,2.4,50.8,5.4,8.0,5,2004,2.6666666666666665,54.666666666666664,3.6666666666666665,38.0,5.666666666666667,8.0,3.0,0.625
8,Sebastien Grosjean,8.222222222222221,44.22222222222222,1.1111111111111112,33.666666666666664,5.0,13.0,9,2004,3.0,53.0,2.0,36.5,8.0,13.0,2.0,0.8181818181818182
9,Paradorn Srichaphan,5.285714285714286,42.714285714285715,2.4285714285714284,32.57142857142857,3.5714285714285716,14.0,7,2004,7.5,57.5,3.5,36.5,11.5,14.0,2.0,0.7777777777777778
10,Sjeng Schalken,8.0,75.4,2.0,56.0,4.2,16.0,5,2004,3.0,72.66666666666667,2.0,49.333333333333336,4.333333333333333,16.0,3.0,0.625
11,Mark Philippoussis,24.666666666666668,62.666666666666664,9.333333333333334,55.333333333333336,3.0,17.0,3,2004,17.0,71.5,6.0,53.0,4.0,17.0,2.0,0.6
12,Juan Ignacio Chela,4.0,79.0,3.0,56.0,9.0,18.0,1,2004,8.0,110.0,2.0,72.0,15.0,18.0,1.0,0.5
13,Jiri Novak,4.0,40.666666666666664,1.0,31.333333333333332,3.3333333333333335,19.0,3,2004,1.5,50.5,2.0,34.5,6.5,16.0,2.0,0.6
14,Tommy Robredo,2.25,52.25,2.5,37.5,6.0,19.0,4,2004,3.0,53.5,1.0,30.0,8.0,19.0,2.0,0.6666666666666666
15,Mardy Fish,11.6,36.4,2.6,30.0,2.2,20.0,5,2004,14.0,59.5,3.0,40.0,9.0,20.0,2.0,0.7142857142857143
16,Andrei Pavel,3.0,72.0,0.0,54.0,4.0,21.0,1,2004,5.0,67.0,2.5,45.5,7.5,20.0,2.0,0.3333333333333333
17,Feliciano Lopez,20.0,67.5,3.5,56.0,2.5,22.0,2,2004,9.5,57.0,3.5,48.0,1.5,21.0,2.0,0.5
18,Vincent Spadea,6.0,44.833333333333336,3.5,33.833333333333336,5.666666666666667,25.0,6,2004,2.6666666666666665,56.666666666666664,3.6666666666666665,39.0,9.333333333333334,25.0,3.0,0.6666666666666666
19,Dominik Hrbaty,4.5,50.0,2.0,40.0,3.0,25.0,2,2004,3.0,59.5,2.0,39.0,10.0,25.0,3.0,0.4
