,winner_name,w_ace,w_1stIn%,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
0,Roger Federer,7.583333333333333,0.6588137467430231,2.0,38.416666666666664,3.4166666666666665,1.0,12,2004
1,Andy Roddick,12.909090909090908,0.6025892836411718,3.090909090909091,43.18181818181818,3.272727272727273,2.0,11,2004
2,Lleyton Hewitt,7.285714285714286,0.5613088873826334,4.714285714285714,38.714285714285715,5.142857142857143,3.0,8,2004
3,Guillermo Coria,6.4,0.620841652932338,4.6,42.4,4.2,3.0,5,2004
4,Juan Carlos Ferrero,4.0,0.6817903439828519,4.5,73.0,8.0,5.0,2,2004
5,Tim Henman,11.25,0.619873267711784,6.5,55.25,7.0,6.0,4,2004
6,Carlos Moya,19.666666666666668,0.597774452246652,5.666666666666667,58.666666666666664,5.333333333333333,7.0,3,2004
7,Rainer Schuettler,5.6,0.646933140831867,2.4,50.8,5.4,8.0,5,2004
8,Sebastien Grosjean,8.222222222222221,0.5850785070005134,1.1111111111111112,33.666666666666664,5.0,13.0,9,2004
9,Paradorn Srichaphan,5.285714285714286,0.6312753433111142,2.4285714285714284,32.57142857142857,3.5714285714285716,14.0,7,2004
10,Sjeng Schalken,8.0,0.7579129997843154,2.0,56.0,4.2,16.0,5,2004
11,Mark Philippoussis,24.666666666666668,0.601921470342523,9.333333333333334,55.333333333333336,3.0,17.0,3,2004
12,Juan Ignacio Chela,4.0,0.7117117117117117,3.0,56.0,9.0,18.0,1,2004
13,Jiri Novak,4.0,0.6996732026143792,1.0,31.333333333333332,3.3333333333333335,19.0,3,2004
14,Tommy Robredo,2.25,0.6269870737073707,2.5,37.5,6.0,19.0,4,2004
15,Mardy Fish,11.6,0.5541310541310541,2.6,30.0,2.2,20.0,5,2004
16,Andrei Pavel,3.0,0.7058823529411765,0.0,54.0,4.0,21.0,1,2004
17,Feliciano Lopez,20.0,0.5973124098124099,3.5,56.0,2.5,22.0,2,2004
18,Vincent Spadea,6.0,0.568498734428419,3.5,33.833333333333336,5.666666666666667,25.0,6,2004
19,Dominik Hrbaty,4.5,0.6474261603375527,2.0,40.0,3.0,25.0,2,2004
20,Fernando Gonzalez,8.5,0.58657616892911,4.0,58.0,3.5,26.0,2,2004
21,Jonas Bjorkman,7.0,0.6103722845972837,3.25,42.75,6.5,27.0,4,2004
22,Taylor Dent,7.8,0.6239910036567243,5.4,39.6,3.2,31.0,5,2004
23,Nicolas Kiefer,5.5,0.5702733923758183,3.0,36.0,3.5,31.0,2,2004
24,Mikhail Youzhny,4.5,0.5843891943581161,2.5,32.5,5.0,34.0,2,2004
25,Robby Ginepri,8.75,0.6490887662040735,1.25,46.75,5.75,34.0,4,2004
26,Hicham Arazi,6.0,0.644615651869173,1.0,38.0,4.75,35.0,4,2004
27,Arnaud Clement,3.75,0.5823500967117988,2.25,32.25,2.75,37.0,4,2004
28,Fernando Verdasco,9.8,0.6094121845501288,5.4,32.2,2.8,40.0,5,2004
29,James Blake,4.0,0.5538461538461539,1.0,27.0,1.0,43.0,1,2004
30,Joachim Johansson,32.25,0.667958369932804,3.25,65.5,4.25,43.0,4,2004
31,Robin Soderling,6.0,0.6102633997991984,3.6666666666666665,35.333333333333336,8.666666666666666,44.0,3,2004
32,Irakli Labadze,5.0,0.6923076923076923,7.0,58.0,9.0,45.0,1,2004
33,Jurgen Melzer,3.0,0.5833333333333334,2.0,21.5,5.5,46.0,2,2004
34,Sargis Sargsian,6.0,0.6330530313305303,2.5,41.5,8.5,48.0,2,2004
35,David Ferrer,16.0,0.7236842105263158,3.0,74.0,12.0,49.0,1,2004
36,Wayne Ferreira,12.0,0.5697912713472486,3.0,47.333333333333336,5.0,50.0,4,2004
37,Xavier Malisse,10.333333333333334,0.5740322417626844,2.6666666666666665,42.0,3.6666666666666665,51.0,3,2004
38,Filippo Volandri,4.0,0.631578947368421,3.0,35.0,5.0,52.0,1,2004
39,Fabrice Santoro,4.0,0.5545454545454546,4.0,49.0,8.0,53.0,1,2004
40,Martin Verkerk,13.333333333333334,0.5901515151515152,6.333333333333333,37.333333333333336,3.6666666666666665,55.0,3,2004
41,Igor Andreev,10.6,0.5685149597238205,4.2,35.0,3.4,56.0,5,2004
42,Thomas Enqvist,10.0,0.5910735526411407,6.0,50.333333333333336,5.666666666666667,57.0,3,2004
43,Ivo Karlovic,31.2,0.6412190713776601,5.2,62.2,4.0,62.0,5,2004
44,Radek Stepanek,8.75,0.6741750894490737,3.5,47.25,5.75,63.0,4,2004
45,Mario Ancic,11.1,0.643326016918565,4.2,43.9,5.0,63.0,10,2004
46,Karol Kucera,5.5,0.6159029649595686,1.5,31.0,0.5,64.0,3,2004
47,Michael Llodra,6.4,0.6942316017316017,1.2,33.6,3.4,65.0,5,2004
48,Florian Mayer,13.0,0.7009771353766807,3.0,65.75,2.75,66.0,4,2004
49,Gregory Carraz,17.0,0.7019230769230769,9.0,60.0,5.0,69.0,1,2004
50,Dmitry Tursunov,16.5,0.5936332279390629,7.5,77.0,13.0,70.0,2,2004
51,Todd Martin,14.5,0.6014416928264156,4.5,55.5,6.0,70.0,2,2004
52,Karol Beck,11.0,0.5849361418055319,3.4,48.2,7.2,71.0,6,2004
53,Olivier Rochus,0.0,0.5423728813559322,2.0,23.0,0.0,71.0,1,2004
54,Guillermo Canas,3.0,0.5576923076923077,3.0,24.0,1.0,72.0,1,2004
55,Raemon Sluiter,5.5,0.5327217125382263,4.5,31.5,8.5,73.0,2,2004
56,Flavio Saretta,3.5,0.6900105708245243,5.5,47.0,4.5,75.0,2,2004
57,Albert Montanes,5.0,0.6507936507936508,1.0,38.0,0.0,78.0,1,2004
58,Victor Hanescu,15.666666666666666,0.7096417069243156,2.3333333333333335,47.666666666666664,5.0,78.0,3,2004
59,Julien Benneteau,6.0,0.7319587628865979,2.0,53.0,8.0,80.0,1,2004
60,Antony Dupuis,8.0,0.6576917447950941,1.0,32.2,2.8,83.0,5,2004
61,Cyril Saulnier,11.0,0.5932891886674315,3.75,43.75,6.25,83.0,4,2004
62,Alexander Popp,3.5,0.710217738631828,4.5,42.25,3.25,84.0,4,2004
63,Jan Michael Gambill,15.0,0.6663663828870338,2.6666666666666665,46.333333333333336,4.666666666666667,84.0,3,2004
64,Kenneth Carlsen,10.0,0.6164383561643836,1.0,35.0,2.0,88.0,1,2004
65,Dennis Van Scheppingen,6.0,0.6875,1.0,29.0,0.0,88.0,1,2004
66,Wayne Arthurs,,,,,,89.0,1,2004
67,Stefan Koubek,6.0,0.6736842105263158,3.0,50.0,5.0,95.0,1,2004
68,Olivier Patience,7.0,0.6433208894659957,3.0,43.0,5.5,97.0,2,2004
69,Gilles Elseneer,11.5,0.6503496503496504,3.0,48.0,4.0,98.0,2,2004
70,Hyung Taik Lee,3.5,0.6761431955725434,1.75,38.75,3.75,99.0,4,2004
71,Tommy Haas,12.0,0.6326530612244898,11.0,76.0,10.0,100.0,1,2004
72,Roger Federer,10.5,0.6686282006010725,1.3333333333333333,43.75,2.75,1.0,12,2005
73,Lleyton Hewitt,12.571428571428571,0.5982947687235204,4.142857142857143,48.0,4.428571428571429,2.0,9,2005
74,Rafael Nadal,7.0,0.6818181818181818,0.0,38.0,1.0,3.0,1,2005
75,Andy Roddick,13.363636363636363,0.6882627371613492,2.090909090909091,51.72727272727273,3.8181818181818183,4.0,11,2005
76,Marat Safin,11.5,0.618898774107157,1.6666666666666667,38.833333333333336,6.166666666666667,5.0,6,2005
77,Nikolay Davydenko,13.0,0.6458333333333334,5.0,47.0,4.0,7.0,1,2005
78,Guillermo Canas,4.0,0.5972222222222222,1.0,27.0,4.0,8.0,3,2005
79,Tim Henman,6.666666666666667,0.6588951310861423,5.0,54.333333333333336,4.333333333333333,9.0,3,2005
80,David Nalbandian,4.5,0.6742800639077234,2.25,47.0,5.5,10.0,6,2005
81,Joachim Johansson,18.0,0.6632653061224489,7.0,65.5,2.0,10.0,2,2005
82,Radek Stepanek,9.5,0.7261454947634525,1.5,48.25,5.75,13.0,4,2005
83,Tommy Robredo,6.0,0.6666666666666666,1.0,30.0,4.0,13.0,1,2005
84,Guillermo Coria,6.5,0.5936054089279896,5.75,45.25,5.5,14.0,5,2005
85,Thomas Johansson,10.8,0.6289635001316619,1.3,43.6,4.1,14.0,12,2005
86,Mario Ancic,14.333333333333334,0.6202383007938563,4.111111111111111,37.888888888888886,3.0,17.0,9,2005
87,Ivan Ljubicic,19.0,0.6055045871559633,3.0,46.0,8.0,17.0,1,2005
88,Richard Gasquet,7.818181818181818,0.6644845607968146,2.0,40.36363636363637,2.4545454545454546,20.0,11,2005
89,Sebastien Grosjean,9.166666666666666,0.600637568058408,3.8333333333333335,55.0,7.5,21.0,6,2005
90,Tommy Haas,5.666666666666667,0.6270459699031128,2.6666666666666665,29.0,4.0,23.0,3,2005
91,Dominik Hrbaty,5.5,0.5665584415584415,2.0,30.5,5.0,24.0,2,2005
92,Fernando Gonzalez,16.5,0.6244662504193998,5.25,45.0,3.75,24.0,4,2005
93,Nicolas Kiefer,17.0,0.6238448719890926,5.0,56.0,8.0,26.0,2,2005
94,Jiri Novak,9.5,0.7327084680025857,2.0,64.0,16.5,28.0,2,2005
95,Nicolas Massu,12.0,0.559322033898305,8.0,51.0,6.0,29.0,1,2005
96,Taylor Dent,9.75,0.5475450689038572,7.125,38.125,4.625,29.0,8,2005
97,Juan Carlos Ferrero,9.8,0.6723569345188122,1.8,54.4,7.8,31.0,5,2005
98,Feliciano Lopez,13.6,0.6159666714093348,2.4,49.8,4.2,32.0,5,2005
99,Paradorn Srichaphan,6.5,0.5931372549019608,2.0,30.5,6.0,33.0,3,2005
100,Mikhail Youzhny,7.0,0.5566779547961723,4.666666666666667,48.0,11.0,34.0,3,2005
101,Olivier Rochus,1.5,0.6907192781522107,0.5,40.666666666666664,2.6666666666666665,35.0,6,2005
102,Robin Soderling,14.0,0.6949152542372882,3.0,36.0,0.0,35.0,1,2005
103,Max Mirnyi,14.5,0.672613772825617,2.0,42.125,2.5,36.0,9,2005
104,Jurgen Melzer,8.666666666666666,0.5990210027100271,4.666666666666667,46.333333333333336,4.333333333333333,37.0,3,2005
105,Greg Rusedski,12.125,0.5807984834411325,7.125,37.375,5.375,38.0,8,2005
106,Andrei Pavel,6.0,0.696969696969697,3.0,56.0,6.0,41.0,1,2005
107,Igor Andreev,9.0,0.6566254747766543,1.6666666666666667,55.333333333333336,6.333333333333333,42.0,3,2005
108,Tomas Berdych,10.666666666666666,0.6633734314175693,1.3333333333333333,44.333333333333336,2.0,43.0,3,2005
109,Karol Beck,6.0,0.5724828842409396,2.6666666666666665,35.666666666666664,4.333333333333333,44.0,3,2005
110,Vincent Spadea,2.25,0.5537164044256243,3.0,28.25,5.25,49.0,4,2005
111,Xavier Malisse,6.5,0.5833333333333333,4.0,36.0,3.0,51.0,2,2005
112,Kenneth Carlsen,4.5,0.6456293706293706,2.5,40.0,5.0,52.0,2,2005
113,Fabrice Santoro,3.0,0.6123330714846819,0.5,46.5,9.5,53.0,2,2005
114,Florian Mayer,4.333333333333333,0.650455419958966,1.6666666666666667,45.333333333333336,7.333333333333333,57.0,3,2005
115,Ivo Karlovic,16.857142857142858,0.6650155110037252,3.142857142857143,37.57142857142857,1.7142857142857142,59.0,7,2005
116,Victor Hanescu,9.0,0.7306771545827633,3.0,76.0,4.5,59.0,2,2005
117,Fernando Verdasco,12.0,0.53125,4.0,39.0,12.0,59.0,1,2005
118,Paul Henri Mathieu,4.5,0.5631270903010034,4.5,34.0,2.0,60.0,2,2005
119,Tomas Zib,7.333333333333333,0.5962792956510841,3.3333333333333335,42.333333333333336,7.0,62.0,3,2005
120,Davide Sanguinetti,4.5,0.6188931307220575,2.25,33.0,2.25,63.0,4,2005
