,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
0,Andy Roddick,14.4,54.9,3.3,40.4,7.0,1.0,11,2004
1,Roger Federer,7.0,44.666666666666664,2.3333333333333335,31.666666666666668,6.0,1.0,4,2004
2,Juan Carlos Ferrero,5.555555555555555,54.55555555555556,2.7777777777777777,37.666666666666664,8.777777777777779,2.0,10,2004
3,Guillermo Coria,2.375,50.125,1.75,30.125,8.375,3.0,10,2004
4,Lleyton Hewitt,6.222222222222222,42.44444444444444,4.666666666666667,29.88888888888889,8.88888888888889,3.0,9,2004
5,Marat Safin,11.545454545454545,52.54545454545455,2.090909090909091,38.72727272727273,6.818181818181818,4.0,12,2004
6,Carlos Moya,8.222222222222221,46.22222222222222,4.222222222222222,31.88888888888889,7.333333333333333,4.0,10,2004
7,Andre Agassi,6.6,58.4,3.1,41.3,8.5,4.0,10,2004
8,Tim Henman,4.363636363636363,54.36363636363637,4.181818181818182,38.54545454545455,6.818181818181818,5.0,13,2004
9,David Nalbandian,3.875,61.0,3.125,40.125,11.75,6.0,8,2004
10,Rainer Schuettler,3.769230769230769,53.23076923076923,3.8461538461538463,36.76923076923077,7.769230769230769,6.0,14,2004
11,Mark Philippoussis,9.444444444444445,45.666666666666664,4.0,34.0,8.222222222222221,9.0,12,2004
12,Gaston Gaudio,2.4,53.1,3.0,33.2,9.4,9.0,10,2004
13,Paradorn Srichaphan,5.894736842105263,48.31578947368421,3.6315789473684212,33.1578947368421,8.157894736842104,10.0,20,2004
14,Sebastien Grosjean,6.75,42.5,3.375,31.625,8.875,10.0,9,2004
15,Joachim Johansson,14.909090909090908,53.0,4.909090909090909,39.90909090909091,4.545454545454546,11.0,12,2004
16,Nicolas Massu,5.7,56.3,3.0,35.1,10.8,11.0,10,2004
17,Dominik Hrbaty,3.3636363636363638,48.90909090909091,4.0,31.181818181818183,8.272727272727273,12.0,12,2004
18,Tommy Robredo,4.909090909090909,41.54545454545455,3.6363636363636362,27.90909090909091,9.181818181818182,13.0,12,2004
19,Andrei Pavel,5.818181818181818,49.0,1.5454545454545454,33.0,6.636363636363637,13.0,13,2004
20,Younes El Aynaoui,1.0,24.0,3.25,11.75,6.5,14.0,5,2004
21,Sjeng Schalken,1.0833333333333333,42.833333333333336,1.4166666666666667,25.083333333333332,6.333333333333333,14.0,12,2004
22,Jiri Novak,3.111111111111111,44.55555555555556,2.7777777777777777,28.555555555555557,10.222222222222221,14.0,10,2004
23,Martin Verkerk,13.833333333333334,48.166666666666664,3.8333333333333335,37.5,4.166666666666667,16.0,6,2004
24,Gustavo Kuerten,7.428571428571429,44.714285714285715,2.857142857142857,32.0,8.142857142857142,16.0,8,2004
25,Guillermo Canas,4.4,54.8,5.2,40.4,8.8,16.0,5,2004
26,Fernando Gonzalez,6.8,45.0,5.1,31.4,8.7,16.0,11,2004
