,winner_name,w_ace,w_1stIn%,w_df,w_1stWon,w_bpFaced,winner_rank,matches_won,year,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,matches_lost,W/L%
0,Andy Roddick,12.89795918367347,0.6475792230051353,2.020408163265306,36.08163265306123,2.7551020408163267,1.0,57,2004,14.4,54.9,3.3,40.4,7.0,1.0,11,0.8382352941176471
1,Roger Federer,8.325581395348838,0.615143254596943,2.13953488372093,36.04651162790697,3.511627906976744,1.0,47,2004,7.0,44.666666666666664,2.3333333333333335,31.666666666666668,6.0,1.0,4,0.9215686274509803
2,Juan Carlos Ferrero,9.583333333333334,0.6093331085504158,2.4166666666666665,46.333333333333336,5.416666666666667,3.0,13,2004,5.555555555555555,54.55555555555556,2.7777777777777777,37.666666666666664,8.777777777777779,2.0,10,0.5652173913043478
3,Lleyton Hewitt,7.386363636363637,0.54720344492464,2.6363636363636362,27.65909090909091,3.3636363636363638,3.0,45,2004,6.222222222222222,42.44444444444444,4.666666666666667,29.88888888888889,8.88888888888889,3.0,9,0.8333333333333334
4,Marat Safin,12.791666666666666,0.574488238139481,2.0833333333333335,37.958333333333336,3.5833333333333335,4.0,27,2004,11.545454545454545,52.54545454545455,2.090909090909091,38.72727272727273,6.818181818181818,4.0,12,0.6923076923076923
5,Guillermo Coria,2.5,0.6605869232193486,2.1,33.9,4.1,4.0,12,2004,2.375,50.125,1.75,30.125,8.375,3.0,10,0.5454545454545454
6,Carlos Moya,9.4,0.5647616675334679,2.1,34.3,4.1,4.0,23,2004,8.222222222222221,46.22222222222222,4.222222222222222,31.88888888888889,7.333333333333333,4.0,10,0.696969696969697
7,Andre Agassi,7.216216216216216,0.6109686026572984,2.1621621621621623,32.486486486486484,3.6216216216216215,4.0,37,2004,6.6,58.4,3.1,41.3,8.5,4.0,10,0.7872340425531915
8,Tim Henman,6.521739130434782,0.5923834712783581,3.782608695652174,35.82608695652174,4.391304347826087,5.0,25,2004,4.363636363636363,54.36363636363637,4.181818181818182,38.54545454545455,6.818181818181818,5.0,13,0.6578947368421053
9,Rainer Schuettler,6.0,0.6088982179501947,2.8,31.8,4.8,6.0,7,2004,3.769230769230769,53.23076923076923,3.8461538461538463,36.76923076923077,7.769230769230769,6.0,14,0.3333333333333333
10,David Nalbandian,5.5,0.5934156723802911,2.5714285714285716,35.214285714285715,5.214285714285714,8.0,15,2004,3.875,61.0,3.125,40.125,11.75,6.0,8,0.6521739130434783
11,Gaston Gaudio,3.4,0.5920771178736188,4.6,36.4,6.4,9.0,5,2004,2.4,53.1,3.0,33.2,9.4,9.0,10,0.3333333333333333
12,Mark Philippoussis,13.8,0.5674218056976678,3.8,44.8,5.4,9.0,5,2004,9.444444444444445,45.666666666666664,4.0,34.0,8.222222222222221,9.0,12,0.29411764705882354
13,Sebastien Grosjean,7.6923076923076925,0.4876750067870947,2.0,32.15384615384615,4.3076923076923075,10.0,16,2004,6.75,42.5,3.375,31.625,8.875,10.0,9,0.64
14,Paradorn Srichaphan,7.0,0.5910108673677954,2.4375,32.03125,4.40625,10.0,34,2004,5.894736842105263,48.31578947368421,3.6315789473684212,33.1578947368421,8.157894736842104,10.0,20,0.6296296296296297
15,Joachim Johansson,16.72,0.6356965282554503,4.6,41.04,2.68,11.0,26,2004,14.909090909090908,53.0,4.909090909090909,39.90909090909091,4.545454545454546,11.0,12,0.6842105263157895
16,Nicolas Massu,4.333333333333333,0.6512496995914444,1.3333333333333333,35.666666666666664,2.6666666666666665,11.0,9,2004,5.7,56.3,3.0,35.1,10.8,11.0,10,0.47368421052631576
17,Tommy Robredo,5.388888888888889,0.6144404103305253,3.4444444444444446,38.05555555555556,5.0,13.0,20,2004,4.909090909090909,41.54545454545455,3.6363636363636362,27.90909090909091,9.181818181818182,13.0,12,0.625
18,Andrei Pavel,9.058823529411764,0.6150149836678062,2.7058823529411766,46.0,7.705882352941177,13.0,17,2004,5.818181818181818,49.0,1.5454545454545454,33.0,6.636363636363637,13.0,13,0.5666666666666667
19,Jiri Novak,5.444444444444445,0.6912083917246884,1.5,37.111111111111114,3.888888888888889,14.0,19,2004,3.111111111111111,44.55555555555556,2.7777777777777777,28.555555555555557,10.222222222222221,14.0,10,0.6551724137931034
20,Sjeng Schalken,2.272727272727273,0.7474724269652022,1.4545454545454546,40.90909090909091,5.181818181818182,15.0,11,2004,1.0833333333333333,42.833333333333336,1.4166666666666667,25.083333333333332,6.333333333333333,14.0,12,0.4782608695652174
21,Juan Ignacio Chela,3.9166666666666665,0.6731071480274048,1.75,37.583333333333336,5.666666666666667,16.0,12,2004,2.8181818181818183,55.81818181818182,3.272727272727273,34.0,11.181818181818182,16.0,12,0.5
22,Guillermo Canas,6.0,0.5612137145870612,3.466666666666667,29.466666666666665,3.8666666666666667,16.0,15,2004,4.4,54.8,5.2,40.4,8.8,16.0,5,0.75
23,Martin Verkerk,12.0,0.6087166749461831,5.4,37.4,3.8,17.0,5,2004,13.833333333333334,48.166666666666664,3.8333333333333335,37.5,4.166666666666667,16.0,6,0.45454545454545453
24,Dominik Hrbaty,5.407407407407407,0.6575959116912199,2.888888888888889,37.74074074074074,6.148148148148148,18.0,31,2004,3.3636363636363638,48.90909090909091,4.0,31.181818181818183,8.272727272727273,12.0,12,0.7209302325581395
25,Nicolas Kiefer,7.892857142857143,0.557375882583506,2.9642857142857144,33.92857142857143,5.142857142857143,18.0,32,2004,7.384615384615385,41.76923076923077,5.076923076923077,31.384615384615383,8.692307692307692,18.0,14,0.6956521739130435
26,Mardy Fish,10.142857142857142,0.5511334700702789,3.5714285714285716,31.928571428571427,5.0,18.0,21,2004,11.666666666666666,44.833333333333336,4.75,34.916666666666664,6.25,17.0,15,0.5833333333333334
27,Gustavo Kuerten,11.25,0.5567471938589876,3.25,39.75,6.625,19.0,8,2004,7.428571428571429,44.714285714285715,2.857142857142857,32.0,8.142857142857142,16.0,8,0.5
28,Fernando Gonzalez,7.1,0.5771621644682353,3.6,31.9,4.3,19.0,15,2004,6.8,45.0,5.1,31.4,8.7,16.0,11,0.5769230769230769
29,Agustin Calleri,9.11111111111111,0.5736396296854731,3.0,37.0,5.555555555555555,20.0,11,2004,6.625,45.5,4.75,31.625,9.125,21.0,9,0.55
30,Vincent Spadea,4.173913043478261,0.5920349952694736,2.608695652173913,34.43478260869565,4.956521739130435,21.0,24,2004,5.076923076923077,49.0,2.3846153846153846,32.0,7.6923076923076925,20.0,14,0.631578947368421
31,Felix Mantilla,4.333333333333333,0.669307487006602,2.6666666666666665,27.0,5.666666666666667,22.0,3,2004,3.0,53.25,4.5,33.5,9.75,22.0,4,0.42857142857142855
32,Max Mirnyi,10.454545454545455,0.6609758880047,2.6363636363636362,39.90909090909091,3.8181818181818183,22.0,13,2004,13.384615384615385,58.07692307692308,4.461538461538462,45.07692307692308,6.769230769230769,22.0,15,0.4642857142857143
33,Taylor Dent,7.809523809523809,0.581477170658841,5.809523809523809,32.19047619047619,4.761904761904762,22.0,25,2004,5.214285714285714,45.857142857142854,6.285714285714286,30.928571428571427,8.214285714285714,22.0,16,0.6097560975609756
34,Tommy Haas,8.4,0.5618351039622087,2.9,33.25,4.35,22.0,22,2004,4.5,46.666666666666664,3.3333333333333335,31.0,8.166666666666666,22.0,8,0.7333333333333333
35,Albert Costa,9.166666666666666,0.5585197240742095,2.3333333333333335,42.666666666666664,5.666666666666667,23.0,6,2004,6.2,42.5,2.9,28.0,7.9,23.0,10,0.375
36,Robby Ginepri,6.666666666666667,0.591788714283386,2.3333333333333335,32.53333333333333,4.666666666666667,25.0,17,2004,4.294117647058823,46.35294117647059,2.2941176470588234,30.176470588235293,7.0,25.0,17,0.5
37,Arnaud Clement,7.285714285714286,0.6182517278020169,1.8571428571428572,35.57142857142857,3.142857142857143,25.0,9,2004,5.111111111111111,44.77777777777778,3.888888888888889,29.77777777777778,9.444444444444445,25.0,11,0.45
38,Wayne Ferreira,7.0,0.6127177136343558,1.375,34.75,4.375,25.0,8,2004,3.4444444444444446,36.22222222222222,2.888888888888889,23.77777777777778,7.666666666666667,25.0,9,0.47058823529411764
39,Ivan Ljubicic,12.65,0.6014275297104111,2.7,37.7,3.7,26.0,22,2004,12.0,48.18181818181818,2.4545454545454546,37.72727272727273,5.0,25.0,12,0.6470588235294118
40,Feliciano Lopez,10.8,0.5874284477727938,2.533333333333333,38.0,4.533333333333333,27.0,17,2004,12.090909090909092,53.63636363636363,5.363636363636363,39.72727272727273,7.909090909090909,21.0,12,0.5862068965517241
41,Jonas Bjorkman,5.5,0.5781614157208569,2.6,30.2,3.7,27.0,12,2004,6.384615384615385,46.92307692307692,3.6153846153846154,32.07692307692308,8.692307692307692,25.0,15,0.4444444444444444
42,Mario Ancic,8.5,0.6249191947024182,2.3333333333333335,39.333333333333336,3.3333333333333335,29.0,6,2004,9.666666666666666,51.111111111111114,3.888888888888889,34.666666666666664,6.333333333333333,27.0,10,0.375
43,Fabrice Santoro,5.083333333333333,0.5298732419230264,1.5833333333333333,31.333333333333332,3.9166666666666665,32.0,13,2004,3.0,48.2,2.0,30.1,10.3,32.0,11,0.5416666666666666
44,Robin Soderling,9.411764705882353,0.6157604500803531,2.0588235294117645,37.0,3.5294117647058822,34.0,17,2004,5.785714285714286,46.57142857142857,3.4285714285714284,31.5,7.571428571428571,34.0,16,0.5151515151515151
45,Rafael Nadal,1.8571428571428572,0.6908410250800376,1.7857142857142858,30.928571428571427,3.7857142857142856,34.0,14,2004,0.7,64.0,2.2,39.0,11.6,34.0,10,0.5833333333333334
46,Florian Mayer,5.5,0.5795265780730897,1.5,31.0,5.0,34.0,2,2004,3.3333333333333335,41.333333333333336,3.6666666666666665,26.666666666666668,6.0,34.0,6,0.25
47,Jarkko Nieminen,3.533333333333333,0.6650196196351262,2.533333333333333,37.6,6.266666666666667,34.0,18,2004,2.357142857142857,49.857142857142854,3.357142857142857,31.5,9.857142857142858,31.0,17,0.5142857142857142
48,Hicham Arazi,5.666666666666667,0.6093708641426698,1.7777777777777777,46.22222222222222,8.666666666666666,35.0,9,2004,3.3333333333333335,51.888888888888886,2.2222222222222223,34.55555555555556,6.666666666666667,35.0,11,0.45
49,Fernando Verdasco,8.0,0.6060196622501453,2.1666666666666665,35.0,6.166666666666667,35.0,6,2004,6.625,57.625,4.125,38.5,8.0,32.0,8,0.42857142857142855
50,Mikhail Youzhny,7.0,0.5418787632225348,2.933333333333333,33.0,5.333333333333333,35.0,18,2004,5.166666666666667,45.916666666666664,4.75,30.333333333333332,9.416666666666666,31.0,13,0.5806451612903226
51,Xavier Malisse,6.166666666666667,0.5940390612484757,0.6666666666666666,23.5,3.3333333333333335,35.0,6,2004,7.4,41.86666666666667,2.6666666666666665,30.533333333333335,6.266666666666667,35.0,16,0.2727272727272727
52,James Blake,6.083333333333333,0.5999262348974098,2.8333333333333335,33.25,4.166666666666667,37.0,12,2004,3.5555555555555554,45.111111111111114,2.4444444444444446,30.11111111111111,8.0,37.0,9,0.5714285714285714
53,Sargis Sargsian,8.666666666666666,0.6207316282315183,4.333333333333333,44.44444444444444,7.333333333333333,38.0,9,2004,2.6153846153846154,48.61538461538461,2.4615384615384617,30.46153846153846,8.307692307692308,38.0,14,0.391304347826087
54,Luis Horna,5.846153846153846,0.684930519399698,2.076923076923077,34.53846153846154,2.8461538461538463,38.0,13,2004,4.636363636363637,54.81818181818182,3.3636363636363638,36.45454545454545,9.272727272727273,33.0,12,0.52
55,Mariano Zabaleta,6.0,0.6090539383561644,2.0,32.0,2.0,40.0,2,2004,4.833333333333333,49.5,5.0,33.0,8.833333333333334,39.0,7,0.2222222222222222
56,Jurgen Melzer,6.75,0.6051674029693851,3.5833333333333335,41.833333333333336,7.166666666666667,40.0,12,2004,5.181818181818182,50.0,3.727272727272727,34.0,10.181818181818182,35.0,14,0.46153846153846156
57,Thomas Johansson,10.733333333333333,0.5638048057369588,2.066666666666667,34.8,4.466666666666667,42.0,15,2004,11.166666666666666,48.5,2.3333333333333335,35.5,8.833333333333334,43.0,6,0.7142857142857143
58,Karol Kucera,5.666666666666667,0.6100578972583547,6.333333333333333,43.0,6.0,42.0,3,2004,5.2,48.2,5.8,31.2,9.0,42.0,5,0.375
59,David Ferrer,2.6666666666666665,0.6107458862729435,3.3333333333333335,32.333333333333336,5.0,42.0,3,2004,1.7,48.5,3.7,29.7,9.5,38.0,10,0.23076923076923078
60,Radek Stepanek,9.5,0.6196334691948727,2.5,45.0,6.5,45.0,4,2004,5.125,47.625,4.125,30.375,8.5,43.0,8,0.3333333333333333
61,Flavio Saretta,4.0,0.4655172413793103,4.0,20.0,3.0,46.0,1,2004,4.0,33.333333333333336,3.3333333333333335,20.333333333333332,10.0,46.0,4,0.2
62,Filippo Volandri,2.5,0.5736158638238132,5.5,41.5,8.0,46.0,2,2004,1.25,54.5,6.0,36.25,9.25,42.0,5,0.2857142857142857
63,David Sanchez,6.0,0.69457313824387,1.8,52.0,7.4,49.0,5,2004,2.2222222222222223,43.333333333333336,1.7777777777777777,29.0,8.555555555555555,49.0,9,0.35714285714285715
64,Igor Andreev,6.4,0.5572336050564392,3.8,36.2,7.0,50.0,7,2004,4.0,43.666666666666664,4.333333333333333,29.22222222222222,7.111111111111111,39.0,10,0.4117647058823529
65,Nikolay Davydenko,6.285714285714286,0.6445094907881852,3.2857142857142856,44.57142857142857,8.285714285714286,51.0,7,2004,3.4444444444444446,59.111111111111114,3.0,39.333333333333336,6.777777777777778,44.0,10,0.4117647058823529
66,Olivier Rochus,2.0,0.61814991308049,3.75,41.25,5.0,52.0,9,2004,1.2,54.4,3.2,31.2,10.2,48.0,11,0.45
67,Alberto Martin,3.125,0.6279312363331395,4.375,42.0,5.125,52.0,8,2004,3.090909090909091,47.72727272727273,4.909090909090909,33.27272727272727,8.363636363636363,52.0,11,0.42105263157894735
68,Stefan Koubek,5.428571428571429,0.610103748143006,4.857142857142857,43.57142857142857,10.857142857142858,53.0,7,2004,2.888888888888889,51.44444444444444,3.3333333333333335,31.0,10.222222222222221,53.0,11,0.3888888888888889
69,Gregory Carraz,11.3,0.6016266425443975,5.7,38.9,5.6,54.0,10,2004,8.25,43.5,6.916666666666667,32.0,7.666666666666667,54.0,13,0.43478260869565216
70,Nicolas Lapentti,5.4,0.6137703248740642,1.6,29.4,2.6,55.0,5,2004,4.8,47.8,2.4,32.4,9.0,55.0,5,0.5
71,Hyung Taik Lee,1.8888888888888888,0.6624425046369956,1.5555555555555556,32.333333333333336,3.7777777777777777,56.0,13,2004,3.6666666666666665,49.666666666666664,2.5833333333333335,33.333333333333336,7.75,56.0,14,0.48148148148148145
72,Michael Llodra,6.5,0.6779198635976129,2.75,49.0,4.75,56.0,4,2004,7.2,45.0,3.6,31.8,6.6,55.0,5,0.4444444444444444
73,Ivo Karlovic,25.5,0.6218097371498323,5.25,53.75,3.75,57.0,6,2004,22.0,64.72727272727273,6.818181818181818,53.54545454545455,7.090909090909091,52.0,12,0.3333333333333333
74,Raemon Sluiter,8.333333333333334,0.6040120516646931,1.7777777777777777,29.11111111111111,3.0,58.0,9,2004,9.1,51.4,3.8,38.4,6.7,56.0,10,0.47368421052631576
75,Jan Michael Gambill,12.4,0.6266975187078452,2.4,35.13333333333333,3.466666666666667,59.0,15,2004,11.444444444444445,45.111111111111114,3.8333333333333335,33.05555555555556,8.777777777777779,51.0,18,0.45454545454545453
76,Nicolas Escude,10.0,0.5993938997782512,2.4,44.0,5.4,59.0,6,2004,6.0,47.6,3.2,34.0,7.2,59.0,6,0.5
77,Thomas Enqvist,8.428571428571429,0.5498368887553626,6.428571428571429,43.57142857142857,7.0,59.0,9,2004,7.615384615384615,47.53846153846154,5.538461538461538,34.76923076923077,7.846153846153846,53.0,15,0.375
78,Ricardo Mello,4.75,0.6281767179147478,2.125,36.375,7.5,60.0,8,2004,0.5,35.5,2.5,20.5,10.0,60.0,2,0.8
79,Todd Martin,11.2,0.6397859024947536,4.2,49.4,6.0,62.0,5,2004,11.0,61.333333333333336,4.777777777777778,45.77777777777778,7.444444444444445,58.0,9,0.35714285714285715
80,Cyril Saulnier,10.222222222222221,0.5558046868530893,2.7222222222222223,34.333333333333336,5.0,62.0,18,2004,7.615384615384615,44.92307692307692,3.4615384615384617,33.46153846153846,5.846153846153846,58.0,13,0.5806451612903226
81,Karol Beck,7.333333333333333,0.537971870542683,4.333333333333333,38.0,5.222222222222222,63.0,9,2004,6.454545454545454,43.45454545454545,4.454545454545454,31.181818181818183,8.0,56.0,13,0.4090909090909091
82,Dmitry Tursunov,8.5,0.519155837632991,6.0,37.0,6.875,63.0,8,2004,5.909090909090909,45.72727272727273,4.818181818181818,30.636363636363637,8.636363636363637,63.0,11,0.42105263157894735
83,Victor Hanescu,9.25,0.6596813634907261,2.0,36.5,3.75,63.0,4,2004,6.428571428571429,55.0,3.857142857142857,35.142857142857146,10.428571428571429,63.0,8,0.3333333333333333
84,Davide Sanguinetti,2.5,0.6550603867677038,0.75,27.0,5.0,65.0,4,2004,5.2,49.2,2.0,32.6,8.2,64.0,5,0.4444444444444444
85,Antony Dupuis,8.6,0.5952914617056163,2.0,34.8,3.2,65.0,5,2004,7.636363636363637,46.45454545454545,4.0,34.27272727272727,6.363636363636363,64.0,11,0.3125
86,Tomas Berdych,12.333333333333334,0.6201731997570324,5.333333333333333,58.666666666666664,14.0,68.0,6,2004,8.333333333333334,43.333333333333336,3.6666666666666665,30.666666666666668,7.666666666666667,38.0,4,0.6
87,Julien Benneteau,3.0,0.6443989071038252,2.0,29.5,5.5,71.0,2,2004,3.3333333333333335,40.333333333333336,4.333333333333333,28.166666666666668,6.166666666666667,71.0,6,0.25
88,Lars Burgsmuller,4.0,0.5674603174603174,4.0,34.5,9.5,76.0,2,2004,3.75,40.5,3.25,26.125,8.875,75.0,8,0.2
89,Gilles Muller,11.25,0.6037766830870279,2.25,37.0,5.75,78.0,4,2004,7.0,43.333333333333336,3.0,30.666666666666668,5.666666666666667,69.0,3,0.5714285714285714
90,Kenneth Carlsen,10.0,0.595047235731455,2.0,29.0,1.0,79.0,3,2004,7.285714285714286,45.0,3.4285714285714284,32.42857142857143,6.142857142857143,79.0,7,0.3
91,Dennis Van Scheppingen,5.333333333333333,0.5964646464646465,5.333333333333333,34.333333333333336,6.0,81.0,3,2004,3.142857142857143,40.42857142857143,5.142857142857143,27.0,8.142857142857142,73.0,7,0.3
