,winner_name,w_ace,w_1stIn%,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
0,Andy Roddick,12.89795918367347,0.6475792230051353,2.020408163265306,36.08163265306123,2.7551020408163267,1.0,57,2004
1,Roger Federer,8.325581395348838,0.615143254596943,2.13953488372093,36.04651162790697,3.511627906976744,1.0,47,2004
2,Juan Carlos Ferrero,9.583333333333334,0.6093331085504158,2.4166666666666665,46.333333333333336,5.416666666666667,3.0,13,2004
3,Lleyton Hewitt,7.386363636363637,0.54720344492464,2.6363636363636362,27.65909090909091,3.3636363636363638,3.0,45,2004
4,Marat Safin,12.791666666666666,0.574488238139481,2.0833333333333335,37.958333333333336,3.5833333333333335,4.0,27,2004
5,Guillermo Coria,2.5,0.6605869232193486,2.1,33.9,4.1,4.0,12,2004
6,Carlos Moya,9.4,0.5647616675334679,2.1,34.3,4.1,4.0,23,2004
7,Andre Agassi,7.216216216216216,0.6109686026572984,2.1621621621621623,32.486486486486484,3.6216216216216215,4.0,37,2004
8,Tim Henman,6.521739130434782,0.5923834712783581,3.782608695652174,35.82608695652174,4.391304347826087,5.0,25,2004
9,Rainer Schuettler,6.0,0.6088982179501947,2.8,31.8,4.8,6.0,7,2004
10,David Nalbandian,5.5,0.5934156723802911,2.5714285714285716,35.214285714285715,5.214285714285714,8.0,15,2004
11,Gaston Gaudio,3.4,0.5920771178736188,4.6,36.4,6.4,9.0,5,2004
12,Mark Philippoussis,13.8,0.5674218056976678,3.8,44.8,5.4,9.0,5,2004
13,Sebastien Grosjean,7.6923076923076925,0.4876750067870947,2.0,32.15384615384615,4.3076923076923075,10.0,16,2004
14,Paradorn Srichaphan,7.0,0.5910108673677954,2.4375,32.03125,4.40625,10.0,34,2004
15,Joachim Johansson,16.72,0.6356965282554503,4.6,41.04,2.68,11.0,26,2004
16,Nicolas Massu,4.333333333333333,0.6512496995914444,1.3333333333333333,35.666666666666664,2.6666666666666665,11.0,9,2004
17,Tommy Robredo,5.388888888888889,0.6144404103305253,3.4444444444444446,38.05555555555556,5.0,13.0,20,2004
18,Andrei Pavel,9.058823529411764,0.6150149836678062,2.7058823529411766,46.0,7.705882352941177,13.0,17,2004
19,Jiri Novak,5.444444444444445,0.6912083917246884,1.5,37.111111111111114,3.888888888888889,14.0,19,2004
20,Sjeng Schalken,2.272727272727273,0.7474724269652022,1.4545454545454546,40.90909090909091,5.181818181818182,15.0,11,2004
21,Juan Ignacio Chela,3.9166666666666665,0.6731071480274048,1.75,37.583333333333336,5.666666666666667,16.0,12,2004
22,Guillermo Canas,6.0,0.5612137145870612,3.466666666666667,29.466666666666665,3.8666666666666667,16.0,15,2004
23,Martin Verkerk,12.0,0.6087166749461831,5.4,37.4,3.8,17.0,5,2004
24,Dominik Hrbaty,5.407407407407407,0.6575959116912199,2.888888888888889,37.74074074074074,6.148148148148148,18.0,31,2004
25,Nicolas Kiefer,7.892857142857143,0.557375882583506,2.9642857142857144,33.92857142857143,5.142857142857143,18.0,32,2004
26,Mardy Fish,10.142857142857142,0.5511334700702789,3.5714285714285716,31.928571428571427,5.0,18.0,21,2004
27,Gustavo Kuerten,11.25,0.5567471938589876,3.25,39.75,6.625,19.0,8,2004
28,Fernando Gonzalez,7.1,0.5771621644682353,3.6,31.9,4.3,19.0,15,2004
29,Agustin Calleri,9.11111111111111,0.5736396296854731,3.0,37.0,5.555555555555555,20.0,11,2004
30,Vincent Spadea,4.173913043478261,0.5920349952694736,2.608695652173913,34.43478260869565,4.956521739130435,21.0,24,2004
31,Felix Mantilla,4.333333333333333,0.669307487006602,2.6666666666666665,27.0,5.666666666666667,22.0,3,2004
32,Max Mirnyi,10.454545454545455,0.6609758880047,2.6363636363636362,39.90909090909091,3.8181818181818183,22.0,13,2004
33,Taylor Dent,7.809523809523809,0.581477170658841,5.809523809523809,32.19047619047619,4.761904761904762,22.0,25,2004
34,Tommy Haas,8.4,0.5618351039622087,2.9,33.25,4.35,22.0,22,2004
35,Albert Costa,9.166666666666666,0.5585197240742095,2.3333333333333335,42.666666666666664,5.666666666666667,23.0,6,2004
36,Robby Ginepri,6.666666666666667,0.591788714283386,2.3333333333333335,32.53333333333333,4.666666666666667,25.0,17,2004
37,Arnaud Clement,7.285714285714286,0.6182517278020169,1.8571428571428572,35.57142857142857,3.142857142857143,25.0,9,2004
38,Wayne Ferreira,7.0,0.6127177136343558,1.375,34.75,4.375,25.0,8,2004
39,Ivan Ljubicic,12.65,0.6014275297104111,2.7,37.7,3.7,26.0,22,2004
40,Feliciano Lopez,10.8,0.5874284477727938,2.533333333333333,38.0,4.533333333333333,27.0,17,2004
41,Jonas Bjorkman,5.5,0.5781614157208569,2.6,30.2,3.7,27.0,12,2004
42,Mario Ancic,8.5,0.6249191947024182,2.3333333333333335,39.333333333333336,3.3333333333333335,29.0,6,2004
43,Fabrice Santoro,5.083333333333333,0.5298732419230264,1.5833333333333333,31.333333333333332,3.9166666666666665,32.0,13,2004
44,Robin Soderling,9.411764705882353,0.6157604500803531,2.0588235294117645,37.0,3.5294117647058822,34.0,17,2004
45,Rafael Nadal,1.8571428571428572,0.6908410250800376,1.7857142857142858,30.928571428571427,3.7857142857142856,34.0,14,2004
46,Florian Mayer,5.5,0.5795265780730897,1.5,31.0,5.0,34.0,2,2004
47,Jarkko Nieminen,3.533333333333333,0.6650196196351262,2.533333333333333,37.6,6.266666666666667,34.0,18,2004
48,Hicham Arazi,5.666666666666667,0.6093708641426698,1.7777777777777777,46.22222222222222,8.666666666666666,35.0,9,2004
49,Fernando Verdasco,8.0,0.6060196622501453,2.1666666666666665,35.0,6.166666666666667,35.0,6,2004
50,Mikhail Youzhny,7.0,0.5418787632225348,2.933333333333333,33.0,5.333333333333333,35.0,18,2004
51,Xavier Malisse,6.166666666666667,0.5940390612484757,0.6666666666666666,23.5,3.3333333333333335,35.0,6,2004
52,James Blake,6.083333333333333,0.5999262348974098,2.8333333333333335,33.25,4.166666666666667,37.0,12,2004
53,Sargis Sargsian,8.666666666666666,0.6207316282315183,4.333333333333333,44.44444444444444,7.333333333333333,38.0,9,2004
54,Luis Horna,5.846153846153846,0.684930519399698,2.076923076923077,34.53846153846154,2.8461538461538463,38.0,13,2004
55,Mariano Zabaleta,6.0,0.6090539383561644,2.0,32.0,2.0,40.0,2,2004
56,Jurgen Melzer,6.75,0.6051674029693851,3.5833333333333335,41.833333333333336,7.166666666666667,40.0,12,2004
57,Thomas Johansson,10.733333333333333,0.5638048057369588,2.066666666666667,34.8,4.466666666666667,42.0,15,2004
58,Karol Kucera,5.666666666666667,0.6100578972583547,6.333333333333333,43.0,6.0,42.0,3,2004
59,David Ferrer,2.6666666666666665,0.6107458862729435,3.3333333333333335,32.333333333333336,5.0,42.0,3,2004
60,Radek Stepanek,9.5,0.6196334691948727,2.5,45.0,6.5,45.0,4,2004
61,Flavio Saretta,4.0,0.4655172413793103,4.0,20.0,3.0,46.0,1,2004
62,Filippo Volandri,2.5,0.5736158638238132,5.5,41.5,8.0,46.0,2,2004
63,David Sanchez,6.0,0.69457313824387,1.8,52.0,7.4,49.0,5,2004
64,Igor Andreev,6.4,0.5572336050564392,3.8,36.2,7.0,50.0,7,2004
65,Nikolay Davydenko,6.285714285714286,0.6445094907881852,3.2857142857142856,44.57142857142857,8.285714285714286,51.0,7,2004
66,Olivier Rochus,2.0,0.61814991308049,3.75,41.25,5.0,52.0,9,2004
67,Alberto Martin,3.125,0.6279312363331395,4.375,42.0,5.125,52.0,8,2004
68,Stefan Koubek,5.428571428571429,0.610103748143006,4.857142857142857,43.57142857142857,10.857142857142858,53.0,7,2004
69,Gregory Carraz,11.3,0.6016266425443975,5.7,38.9,5.6,54.0,10,2004
70,Nicolas Lapentti,5.4,0.6137703248740642,1.6,29.4,2.6,55.0,5,2004
71,Hyung Taik Lee,1.8888888888888888,0.6624425046369956,1.5555555555555556,32.333333333333336,3.7777777777777777,56.0,13,2004
72,Michael Llodra,6.5,0.6779198635976129,2.75,49.0,4.75,56.0,4,2004
73,Ivo Karlovic,25.5,0.6218097371498323,5.25,53.75,3.75,57.0,6,2004
74,Raemon Sluiter,8.333333333333334,0.6040120516646931,1.7777777777777777,29.11111111111111,3.0,58.0,9,2004
75,Jan Michael Gambill,12.4,0.6266975187078452,2.4,35.13333333333333,3.466666666666667,59.0,15,2004
76,Nicolas Escude,10.0,0.5993938997782512,2.4,44.0,5.4,59.0,6,2004
77,Thomas Enqvist,8.428571428571429,0.5498368887553626,6.428571428571429,43.57142857142857,7.0,59.0,9,2004
78,Ricardo Mello,4.75,0.6281767179147478,2.125,36.375,7.5,60.0,8,2004
79,Todd Martin,11.2,0.6397859024947536,4.2,49.4,6.0,62.0,5,2004
80,Cyril Saulnier,10.222222222222221,0.5558046868530893,2.7222222222222223,34.333333333333336,5.0,62.0,18,2004
81,Karol Beck,7.333333333333333,0.537971870542683,4.333333333333333,38.0,5.222222222222222,63.0,9,2004
82,Dmitry Tursunov,8.5,0.519155837632991,6.0,37.0,6.875,63.0,8,2004
83,Victor Hanescu,9.25,0.6596813634907261,2.0,36.5,3.75,63.0,4,2004
84,Davide Sanguinetti,2.5,0.6550603867677038,0.75,27.0,5.0,65.0,4,2004
85,Antony Dupuis,8.6,0.5952914617056163,2.0,34.8,3.2,65.0,5,2004
86,Tomas Berdych,12.333333333333334,0.6201731997570324,5.333333333333333,58.666666666666664,14.0,68.0,6,2004
87,Julien Benneteau,3.0,0.6443989071038252,2.0,29.5,5.5,71.0,2,2004
88,Lars Burgsmuller,4.0,0.5674603174603174,4.0,34.5,9.5,76.0,2,2004
89,Gilles Muller,11.25,0.6037766830870279,2.25,37.0,5.75,78.0,4,2004
90,Kenneth Carlsen,10.0,0.595047235731455,2.0,29.0,1.0,79.0,3,2004
91,Dennis Van Scheppingen,5.333333333333333,0.5964646464646465,5.333333333333333,34.333333333333336,6.0,81.0,3,2004
92,Alex Corretja,4.333333333333333,0.5710843976653066,3.5,39.833333333333336,8.166666666666666,86.0,6,2004
93,Thierry Ascione,9.0,0.6631578947368421,6.0,52.0,6.0,87.0,1,2004
94,Paul Henri Mathieu,9.0,0.501513019848596,2.5,36.5,5.75,88.0,4,2004
95,Alexander Popp,6.0,0.6346153846153846,2.0,25.0,3.0,88.0,1,2004
96,Greg Rusedski,13.142857142857142,0.5700214747350237,7.0,42.142857142857146,6.0,89.0,7,2004
97,Wayne Arthurs,15.0,0.711864406779661,4.0,37.0,4.0,89.0,3,2004
98,Wesley Moodie,15.0,0.7538461538461538,1.0,40.0,1.0,90.0,1,2004
99,Irakli Labadze,4.6,0.5145230935859528,5.8,29.2,4.2,90.0,5,2004
100,Jeff Morrison,9.75,0.5782167785211944,3.5,29.5,1.25,91.0,4,2004
101,John Van Lottum,5.0,0.6120439469320067,2.0,35.0,4.0,92.0,2,2004
102,Potito Starace,10.0,0.6306306306306306,2.0,50.0,9.0,93.0,1,2004
103,Yen Hsun Lu,6.0,0.6274509803921569,1.0,27.0,0.0,94.0,1,2004
104,Gilles Elseneer,8.0,0.5512820512820513,8.0,34.0,9.0,97.0,1,2004
105,Jean Rene Lisnard,3.0,0.5227272727272727,1.5,33.5,8.0,97.0,2,2004
106,Galo Blanco,2.0,0.5333333333333333,1.0,7.0,1.0,99.0,1,2004
107,Philipp Kohlschreiber,6.0,0.5507246376811594,1.0,32.0,2.0,99.0,1,2004
108,Roger Federer,7.18,0.6393511032883551,1.56,35.94,3.56,1.0,50,2005
109,Andy Roddick,13.931034482758621,0.6507363712422602,2.0344827586206895,38.93103448275862,2.413793103448276,2.0,30,2005
110,Rafael Nadal,2.7857142857142856,0.677716265887707,1.6428571428571428,36.57142857142857,3.857142857142857,2.0,28,2005
111,Lleyton Hewitt,9.285714285714286,0.561454716521316,3.6785714285714284,38.0,5.5,2.0,29,2005
112,Marat Safin,10.833333333333334,0.556266831623862,1.5833333333333333,42.25,5.083333333333333,4.0,12,2005
113,Carlos Moya,6.266666666666667,0.5601541953183921,3.0,32.8,5.4,5.0,16,2005
114,Guillermo Coria,4.578947368421052,0.6230421332306376,5.684210526315789,35.473684210526315,6.315789473684211,5.0,19,2005
115,Andre Agassi,7.15625,0.6112663536795864,2.03125,36.46875,4.8125,6.0,32,2005
116,Tim Henman,3.8,0.640827259952914,2.533333333333333,34.666666666666664,3.933333333333333,6.0,15,2005
117,Nikolay Davydenko,4.238095238095238,0.677136865245876,2.1904761904761907,33.476190476190474,5.0476190476190474,6.0,21,2005
118,Gaston Gaudio,3.5,0.6068439747149191,3.875,38.875,5.0,8.0,8,2005
119,David Nalbandian,3.857142857142857,0.611338732159968,3.0476190476190474,37.38095238095238,6.809523809523809,9.0,22,2005
