,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
0,Justine Henin,2.0,33.0,10.0,18.0,11.0,1.0,2,2004
1,Kim Clijsters,,,,,,2.0,1,2004
2,Amelie Mauresmo,3.0,55.0,9.0,36.0,17.0,3.0,3,2004
3,Anastasia Myskina,,,,,,3.0,2,2004
4,Lindsay Davenport,0.0,26.0,3.0,10.0,12.0,4.0,3,2004
5,Jennifer Capriati,,,,,,6.0,3,2004
6,Elena Dementieva,1.0,21.0,10.0,11.0,8.0,6.0,4,2004
7,Nadia Petrova,3.0,29.0,5.0,15.0,15.0,6.0,4,2004
8,Serena Williams,5.0,57.0,3.0,34.0,8.0,7.0,3,2004
9,Svetlana Kuznetsova,1.0,59.0,3.0,29.0,12.0,9.0,4,2004
10,Venus Williams,,,,,,9.0,2,2004
11,Ai Sugiyama,1.0,58.0,6.0,28.0,15.0,10.0,6,2004
12,Vera Zvonareva,1.0,42.0,6.0,22.0,13.0,11.0,5,2004
13,Paola Suarez,,,,,,13.0,4,2004
14,Chanda Rubin,,,,,,14.0,2,2004
15,Silvia Farina Elia,0.5,71.0,2.5,42.0,13.5,15.0,5,2004
16,Patty Schnyder,2.0,56.0,7.0,33.0,13.0,16.0,6,2004
17,Francesca Schiavone,3.5,34.5,3.0,20.0,11.5,17.0,5,2004
18,Jelena Dokic,1.0,40.0,9.0,24.0,14.0,18.0,5,2004
19,Conchita Martinez,2.0,37.0,3.0,22.0,7.0,18.0,4,2004
20,Anna Smashnova,,,,,,18.0,6,2004
21,Magdalena Maleeva,0.0,25.0,1.0,14.0,8.0,20.0,4,2004
22,Maria Sharapova,,,,,,20.0,2,2004
23,Fabiola Zuluaga,0.0,38.0,3.0,24.0,9.0,22.0,4,2004
24,Nathalie Dechy,1.0,62.0,7.0,39.0,12.0,25.0,3,2004
25,Elena Bovina,2.0,60.0,3.0,32.0,15.0,25.0,4,2004
26,Eleni Daniilidou,1.0,60.0,8.0,32.0,15.0,26.0,5,2004
27,Lisa Raymond,0.0,38.0,3.0,21.0,10.0,27.0,6,2004
28,Karolina Sprem,2.0,34.0,11.0,19.0,12.0,28.0,5,2004
29,Mary Pierce,1.0,34.0,1.0,16.0,11.0,29.0,4,2004
30,Petra Mandula,,,,,,30.0,5,2004
31,Tina Pisnik,,,,,,30.0,6,2004
32,Dinara Safina,,,,,,31.0,5,2004
33,Alicia Molik,4.0,48.0,1.0,33.0,12.0,32.0,4,2004
34,Emilie Loit,,,,,,32.0,5,2004
35,Maria Vento Kabchi,1.0,41.0,12.0,24.0,16.0,34.0,3,2004
36,Amy Frazier,0.0,33.0,7.0,18.0,9.0,35.0,4,2004
37,Maria Sanchez Lorenzo,4.0,23.0,5.0,14.0,11.0,35.0,7,2004
38,Meghann Shaughnessy,8.0,42.0,8.0,31.0,13.0,37.0,4,2004
39,Lina Krasnoroutskaya,,,,,,38.0,2,2004
40,Jelena Kostanic Tosic,0.0,43.0,6.0,22.0,10.0,39.0,7,2004
41,Magui Serna,2.0,44.0,7.0,21.0,12.0,40.0,2,2004
42,Daniela Hantuchova,2.0,33.0,4.0,14.0,12.0,41.0,4,2004
43,Claudine Schaul,0.0,19.0,3.0,10.0,10.0,41.0,3,2004
44,Kristina Brandi,0.0,62.0,2.0,32.0,9.0,43.0,3,2004
45,Elena Likhovtseva,2.0,65.0,7.0,38.0,14.0,43.0,4,2004
46,Nicole Pratt,0.0,34.0,3.0,16.0,12.0,44.0,4,2004
47,Saori Obata,0.0,66.0,7.0,33.0,16.0,46.0,3,2004
48,Aniko Kapros,0.0,32.0,2.0,17.0,7.0,46.0,2,2004
49,Anca Barna,0.0,27.0,2.0,8.0,10.0,46.0,6,2004
50,Ashley Harkleroad,1.0,41.0,3.0,19.0,16.0,47.0,3,2004
51,Anabel Medina Garrigues,,,,,,48.0,9,2004
52,Shinobu Asagoe,0.0,42.0,5.0,18.0,10.0,48.0,4,2004
53,Amanda Coetzer,,,,,,49.0,1,2004
54,Laura Granville,0.0,36.0,1.0,16.0,13.0,50.0,4,2004
55,Iveta Benesova,,,,,,50.0,6,2004
56,Marion Bartoli,1.0,36.0,3.0,10.0,18.0,50.0,6,2004
57,Cara Black,1.0,33.0,3.0,17.0,6.0,51.0,5,2004
58,Gisela Dulko,1.0,74.0,8.0,48.0,13.0,52.0,6,2004
59,Jill Craybas,0.0,42.0,1.0,21.0,7.0,52.0,4,2004
60,Denisa Chladkova,2.0,37.0,2.0,20.0,8.0,52.0,6,2004
61,Jelena Jankovic,1.0,64.0,7.0,32.0,18.0,53.0,3,2004
62,Akiko Morigami,4.0,62.0,1.0,39.0,13.0,54.0,5,2004
63,Barbara Schett,0.0,31.0,5.0,16.0,7.0,54.0,5,2004
64,Tamarine Tanasugarn,1.0,32.0,5.0,15.0,14.0,54.0,4,2004
65,Virginia Ruano Pascual,0.0,37.0,5.0,17.0,8.0,55.0,4,2004
66,Martina Sucha,1.0,33.0,7.0,17.0,13.0,56.0,7,2004
67,Katarina Srebotnik,2.0,63.0,2.0,39.0,14.0,56.0,9,2004
68,Klara Koukalova,,,,,,57.0,11,2004
69,Arantxa Parra Santonja,4.0,24.0,3.0,13.0,7.0,57.0,8,2004
70,Jie Zheng,0.0,54.0,5.0,26.0,11.0,58.0,4,2004
71,Ludmila Cervanova,1.0,45.0,6.0,26.0,14.0,58.0,10,2004
72,Lubomira Kurhajcova,7.0,57.0,8.0,35.0,10.0,59.0,9,2004
73,Flavia Pennetta,,,,,,60.0,7,2004
74,Emmanuelle Gagliardi,,,,,,60.0,5,2004
75,Marta Marrero,2.0,68.0,8.0,38.0,15.0,63.0,6,2004
76,Melinda Czink,1.0,35.0,1.0,17.0,5.0,64.0,9,2004
77,Tatiana Golovin,,,,,,65.0,2,2004
78,Barbora Strycova,0.0,25.0,2.0,11.0,8.0,68.0,5,2004
79,Julia Vakulenko,0.0,36.0,0.0,18.0,6.0,69.0,6,2004
80,Maria Elena Camerin,1.0,69.0,5.0,37.0,15.0,69.0,6,2004
81,Marie Gaiane Mikaelian,4.0,61.0,7.0,36.0,16.0,74.0,6,2004
82,Alina Jidkova,1.0,57.0,4.0,37.0,14.0,76.0,2,2004
83,Samantha Reeves,2.0,39.0,5.0,20.0,12.0,78.0,5,2004
84,Mara Santangelo,1.0,36.0,5.0,18.0,6.0,78.0,2,2004
85,Milagros Sequera,1.0,36.0,6.0,22.0,9.0,79.0,5,2004
86,Els Callens,1.0,40.0,4.0,24.0,8.0,79.0,3,2004
87,Tathiana Garbin,3.0,57.0,2.0,34.0,10.0,79.0,5,2004
88,Vera Dushevina,3.0,35.0,4.0,19.0,11.0,80.0,3,2004
89,Dally Randriantefy,,,,,,81.0,2,2004
90,Tatiana Perebiynis,,,,,,82.0,5,2004
91,Rita Grande,,,,,,83.0,5,2004
92,Stephanie Cohen Aloro,1.0,43.0,7.0,20.0,6.0,87.0,5,2004
93,Sandra Kleinova,,,,,,88.0,1,2004
94,Severine Beltrame,1.0,42.0,2.0,23.0,11.0,89.0,2,2004
95,Anna Lena Groenefeld,1.0,7.0,0.0,4.0,1.0,90.0,6,2004
96,Marlene Weingartner,1.0,38.0,3.0,18.0,13.0,90.0,3,2004
97,Lindsay Lee Waters,,,,,,92.0,1,2004
98,Gala Leon Garcia,,,,,,92.0,4,2004
99,Henrieta Nagyova,1.0,61.0,2.0,26.0,12.0,93.0,4,2004
100,Myriam Casanova,2.0,57.0,7.0,34.0,10.0,93.0,1,2004
