,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,matches_won,year,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,matches_lost,W/L%
0,Justine Henin,2.0,37.0,8.0,22.0,7.0,1.0,4,2004,2.0,33.0,10.0,18.0,11.0,1.0,2.0,0.6666666666666666
1,Kim Clijsters,,,,,,2.0,3,2004,,,,,,2.0,1.0,0.75
2,Anastasia Myskina,1.2,42.4,6.6,27.8,7.4,3.0,13,2004,,,,,,3.0,2.0,0.8666666666666667
3,Amelie Mauresmo,3.8,29.4,3.6,22.0,1.8,3.0,18,2004,3.0,55.0,9.0,36.0,17.0,3.0,3.0,0.8571428571428571
4,Lindsay Davenport,2.5,38.5,5.5,27.0,7.0,4.0,13,2004,0.0,26.0,3.0,10.0,12.0,4.0,3.0,0.8125
5,Jennifer Capriati,2.6,45.6,4.2,31.2,7.6,6.0,9,2004,,,,,,6.0,3.0,0.75
6,Elena Dementieva,1.75,41.0,11.75,27.25,8.5,6.0,8,2004,1.0,21.0,10.0,11.0,8.0,6.0,4.0,0.6666666666666666
7,Nadia Petrova,3.0,28.0,6.0,22.0,2.0,6.0,8,2004,3.0,29.0,5.0,15.0,15.0,6.0,4.0,0.6666666666666666
8,Serena Williams,3.6666666666666665,39.666666666666664,4.666666666666667,28.333333333333332,6.0,7.0,7,2004,5.0,57.0,3.0,34.0,8.0,7.0,3.0,0.7
9,Venus Williams,2.0,36.25,4.5,26.5,6.0,9.0,19,2004,,,,,,9.0,2.0,0.9047619047619048
10,Ai Sugiyama,1.0,31.0,5.0,17.0,12.0,10.0,4,2004,1.0,58.0,6.0,28.0,15.0,10.0,6.0,0.4
11,Svetlana Kuznetsova,4.333333333333333,35.666666666666664,3.3333333333333335,25.0,5.666666666666667,11.0,9,2004,1.0,59.0,3.0,29.0,12.0,9.0,4.0,0.6923076923076923
12,Vera Zvonareva,2.5,36.5,4.0,25.0,8.5,11.0,10,2004,1.0,42.0,6.0,22.0,13.0,11.0,5.0,0.6666666666666666
13,Paola Suarez,1.25,44.25,5.75,27.0,7.5,13.0,14,2004,,,,,,13.0,4.0,0.7777777777777778
14,Silvia Farina Elia,1.0,61.0,0.0,35.0,12.0,15.0,11,2004,0.5,71.0,2.5,42.0,13.5,15.0,5.0,0.6875
15,Patty Schnyder,3.0,38.0,0.0,25.0,3.0,16.0,11,2004,2.0,56.0,7.0,33.0,13.0,16.0,6.0,0.6470588235294118
16,Conchita Martinez,2.0,32.0,4.0,24.0,4.0,18.0,10,2004,2.0,37.0,3.0,22.0,7.0,18.0,4.0,0.7142857142857143
17,Anna Smashnova,,,,,,18.0,16,2004,,,,,,18.0,6.0,0.7272727272727273
18,Jelena Dokic,,,,,,18.0,3,2004,1.0,40.0,9.0,24.0,14.0,18.0,5.0,0.375
19,Francesca Schiavone,4.0,30.666666666666668,2.3333333333333335,22.333333333333332,5.666666666666667,19.0,8,2004,3.5,34.5,3.0,20.0,11.5,17.0,5.0,0.6153846153846154
20,Maria Sharapova,2.6666666666666665,35.0,4.333333333333333,23.333333333333332,6.0,20.0,6,2004,,,,,,20.0,2.0,0.75
21,Magdalena Maleeva,1.3333333333333333,69.0,4.666666666666667,43.0,13.666666666666666,22.0,6,2004,0.0,25.0,1.0,14.0,8.0,20.0,4.0,0.6
22,Fabiola Zuluaga,3.6666666666666665,43.333333333333336,3.6666666666666665,31.0,9.0,23.0,11,2004,0.0,38.0,3.0,24.0,9.0,22.0,4.0,0.7333333333333333
23,Chanda Rubin,,,,,,24.0,1,2004,,,,,,14.0,2.0,0.3333333333333333
24,Elena Bovina,3.0,24.0,3.0,17.5,7.5,25.0,5,2004,2.0,60.0,3.0,32.0,15.0,25.0,4.0,0.5555555555555556
25,Nathalie Dechy,,,,,,25.0,2,2004,1.0,62.0,7.0,39.0,12.0,25.0,3.0,0.4
26,Eleni Daniilidou,,,,,,26.0,4,2004,1.0,60.0,8.0,32.0,15.0,26.0,5.0,0.4444444444444444
27,Emilie Loit,2.0,30.0,0.0,20.0,5.0,27.0,20,2004,,,,,,32.0,5.0,0.8
28,Mary Pierce,2.0,31.5,2.5,26.5,1.0,27.0,4,2004,1.0,34.0,1.0,16.0,11.0,29.0,4.0,0.5
29,Karolina Sprem,,,,,,28.0,8,2004,2.0,34.0,11.0,19.0,12.0,28.0,5.0,0.6153846153846154
30,Lisa Raymond,5.0,40.0,9.0,28.0,12.0,29.0,2,2004,0.0,38.0,3.0,21.0,10.0,27.0,6.0,0.25
31,Petra Mandula,3.0,44.0,11.0,32.0,7.0,30.0,9,2004,,,,,,30.0,5.0,0.6428571428571429
32,Tina Pisnik,,,,,,30.0,3,2004,,,,,,30.0,6.0,0.3333333333333333
33,Dinara Safina,21.0,62.0,5.0,45.0,8.0,32.0,3,2004,,,,,,31.0,5.0,0.375
34,Maria Vento Kabchi,,,,,,34.0,2,2004,1.0,41.0,12.0,24.0,16.0,34.0,3.0,0.4
35,Maria Sanchez Lorenzo,5.0,27.0,6.0,19.0,6.0,36.0,9,2004,4.0,23.0,5.0,14.0,11.0,35.0,7.0,0.5625
36,Lina Krasnoroutskaya,,,,,,38.0,1,2004,,,,,,38.0,2.0,0.3333333333333333
37,Amy Frazier,,,,,,38.0,5,2004,0.0,33.0,7.0,18.0,9.0,35.0,4.0,0.5555555555555556
38,Jelena Kostanic Tosic,,,,,,38.0,13,2004,0.0,43.0,6.0,22.0,10.0,39.0,7.0,0.65
39,Meghann Shaughnessy,4.0,45.0,8.0,32.5,7.5,38.0,3,2004,8.0,42.0,8.0,31.0,13.0,37.0,4.0,0.42857142857142855
40,Alicia Molik,,,,,,39.0,6,2004,4.0,48.0,1.0,33.0,12.0,32.0,4.0,0.6
41,Magui Serna,4.0,47.0,8.0,29.0,12.0,40.0,3,2004,2.0,44.0,7.0,21.0,12.0,40.0,2.0,0.6
42,Elena Likhovtseva,0.0,57.0,5.0,38.0,10.0,43.0,2,2004,2.0,65.0,7.0,38.0,14.0,43.0,4.0,0.3333333333333333
43,Nicole Pratt,,,,,,44.0,4,2004,0.0,34.0,3.0,16.0,12.0,44.0,4.0,0.5
44,Kristina Brandi,,,,,,44.0,1,2004,0.0,62.0,2.0,32.0,9.0,43.0,3.0,0.25
45,Daniela Hantuchova,,,,,,45.0,2,2004,2.0,33.0,4.0,14.0,12.0,41.0,4.0,0.3333333333333333
46,Aniko Kapros,,,,,,48.0,2,2004,0.0,32.0,2.0,17.0,7.0,46.0,2.0,0.5
47,Anca Barna,,,,,,49.0,1,2004,0.0,27.0,2.0,8.0,10.0,46.0,6.0,0.14285714285714285
48,Marion Bartoli,,,,,,50.0,3,2004,1.0,36.0,3.0,10.0,18.0,50.0,6.0,0.3333333333333333
49,Shinobu Asagoe,0.0,62.0,2.0,36.0,12.333333333333334,51.0,6,2004,0.0,42.0,5.0,18.0,10.0,48.0,4.0,0.6
50,Iveta Benesova,,,,,,52.0,14,2004,,,,,,50.0,6.0,0.7
51,Gisela Dulko,2.5,39.0,4.5,24.5,11.0,52.0,5,2004,1.0,74.0,8.0,48.0,13.0,52.0,6.0,0.45454545454545453
52,Laura Granville,,,,,,53.0,1,2004,0.0,36.0,1.0,16.0,13.0,50.0,4.0,0.2
53,Barbara Schett,,,,,,54.0,8,2004,0.0,31.0,5.0,16.0,7.0,54.0,5.0,0.6153846153846154
54,Akiko Morigami,,,,,,54.0,4,2004,4.0,62.0,1.0,39.0,13.0,54.0,5.0,0.4444444444444444
55,Anabel Medina Garrigues,1.0,37.0,0.0,27.0,3.0,54.0,11,2004,,,,,,48.0,9.0,0.55
56,Denisa Chladkova,1.0,31.0,4.0,22.0,5.0,55.0,9,2004,2.0,37.0,2.0,20.0,8.0,52.0,6.0,0.6
57,Katarina Srebotnik,0.5,37.0,0.5,24.5,4.0,56.0,8,2004,2.0,63.0,2.0,39.0,14.0,56.0,9.0,0.47058823529411764
58,Klara Koukalova,,,,,,57.0,14,2004,,,,,,57.0,11.0,0.56
59,Arantxa Parra Santonja,3.0,35.0,3.5,22.5,8.0,57.0,5,2004,4.0,24.0,3.0,13.0,7.0,57.0,8.0,0.38461538461538464
60,Jie Zheng,0.0,68.0,6.0,45.0,7.0,58.0,4,2004,0.0,54.0,5.0,26.0,11.0,58.0,4.0,0.5
61,Jelena Jankovic,,,,,,59.0,9,2004,1.0,64.0,7.0,32.0,18.0,53.0,3.0,0.75
62,Marta Marrero,0.0,79.0,9.0,48.0,20.0,63.0,7,2004,2.0,68.0,8.0,38.0,15.0,63.0,6.0,0.5384615384615384
63,Ludmila Cervanova,,,,,,63.0,12,2004,1.0,45.0,6.0,26.0,14.0,58.0,10.0,0.5454545454545454
64,Melinda Czink,,,,,,64.0,2,2004,1.0,35.0,1.0,17.0,5.0,64.0,9.0,0.18181818181818182
65,Claudine Schaul,,,,,,66.0,5,2004,0.0,19.0,3.0,10.0,10.0,41.0,3.0,0.625
66,Flavia Pennetta,,,,,,68.0,18,2004,,,,,,60.0,7.0,0.72
67,Barbora Strycova,1.0,26.0,4.0,20.0,2.0,68.0,8,2004,0.0,25.0,2.0,11.0,8.0,68.0,5.0,0.6153846153846154
68,Maria Elena Camerin,1.0,56.0,2.0,33.0,10.0,69.0,4,2004,1.0,69.0,5.0,37.0,15.0,69.0,6.0,0.4
69,Martina Sucha,,,,,,69.0,7,2004,1.0,33.0,7.0,17.0,13.0,56.0,7.0,0.5
70,Lubomira Kurhajcova,,,,,,69.0,11,2004,7.0,57.0,8.0,35.0,10.0,59.0,9.0,0.55
71,Myriam Casanova,2.5,47.5,6.5,31.0,10.5,71.0,5,2004,2.0,57.0,7.0,34.0,10.0,93.0,1.0,0.8333333333333334
72,Julia Vakulenko,,,,,,71.0,4,2004,0.0,36.0,0.0,18.0,6.0,69.0,6.0,0.4
73,Tathiana Garbin,2.0,40.0,3.5,25.5,11.0,79.0,4,2004,3.0,57.0,2.0,34.0,10.0,79.0,5.0,0.4444444444444444
74,Vera Dushevina,4.0,56.0,5.0,31.0,17.0,80.0,3,2004,3.0,35.0,4.0,19.0,11.0,80.0,3.0,0.5
75,Virginia Ruano Pascual,1.0,52.5,3.5,30.0,8.5,81.0,4,2004,0.0,37.0,5.0,17.0,8.0,55.0,4.0,0.5
76,Milagros Sequera,,,,,,83.0,3,2004,1.0,36.0,6.0,22.0,9.0,79.0,5.0,0.375
77,Rita Grande,1.0,45.0,2.0,27.0,10.0,83.0,4,2004,,,,,,83.0,5.0,0.4444444444444444
78,Els Callens,,,,,,84.0,1,2004,1.0,40.0,4.0,24.0,8.0,79.0,3.0,0.25
79,Alina Jidkova,,,,,,84.0,2,2004,1.0,57.0,4.0,37.0,14.0,76.0,2.0,0.5
