,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
0,Justine Henin,2.0,37.0,8.0,22.0,7.0,1.0,4,2004
1,Kim Clijsters,,,,,,2.0,3,2004
2,Anastasia Myskina,1.2,42.4,6.6,27.8,7.4,3.0,13,2004
3,Amelie Mauresmo,3.8,29.4,3.6,22.0,1.8,3.0,18,2004
4,Lindsay Davenport,2.5,38.5,5.5,27.0,7.0,4.0,13,2004
5,Jennifer Capriati,2.6,45.6,4.2,31.2,7.6,6.0,9,2004
6,Elena Dementieva,1.75,41.0,11.75,27.25,8.5,6.0,8,2004
7,Nadia Petrova,3.0,28.0,6.0,22.0,2.0,6.0,8,2004
8,Serena Williams,3.6666666666666665,39.666666666666664,4.666666666666667,28.333333333333332,6.0,7.0,7,2004
9,Venus Williams,2.0,36.25,4.5,26.5,6.0,9.0,19,2004
10,Ai Sugiyama,1.0,31.0,5.0,17.0,12.0,10.0,4,2004
11,Svetlana Kuznetsova,4.333333333333333,35.666666666666664,3.3333333333333335,25.0,5.666666666666667,11.0,9,2004
12,Vera Zvonareva,2.5,36.5,4.0,25.0,8.5,11.0,10,2004
13,Paola Suarez,1.25,44.25,5.75,27.0,7.5,13.0,14,2004
14,Silvia Farina Elia,1.0,61.0,0.0,35.0,12.0,15.0,11,2004
15,Patty Schnyder,3.0,38.0,0.0,25.0,3.0,16.0,11,2004
16,Conchita Martinez,2.0,32.0,4.0,24.0,4.0,18.0,10,2004
17,Anna Smashnova,,,,,,18.0,16,2004
18,Jelena Dokic,,,,,,18.0,3,2004
19,Francesca Schiavone,4.0,30.666666666666668,2.3333333333333335,22.333333333333332,5.666666666666667,19.0,8,2004
20,Maria Sharapova,2.6666666666666665,35.0,4.333333333333333,23.333333333333332,6.0,20.0,6,2004
21,Magdalena Maleeva,1.3333333333333333,69.0,4.666666666666667,43.0,13.666666666666666,22.0,6,2004
22,Fabiola Zuluaga,3.6666666666666665,43.333333333333336,3.6666666666666665,31.0,9.0,23.0,11,2004
23,Chanda Rubin,,,,,,24.0,1,2004
24,Elena Bovina,3.0,24.0,3.0,17.5,7.5,25.0,5,2004
25,Nathalie Dechy,,,,,,25.0,2,2004
26,Eleni Daniilidou,,,,,,26.0,4,2004
27,Emilie Loit,2.0,30.0,0.0,20.0,5.0,27.0,20,2004
28,Mary Pierce,2.0,31.5,2.5,26.5,1.0,27.0,4,2004
29,Karolina Sprem,,,,,,28.0,8,2004
30,Lisa Raymond,5.0,40.0,9.0,28.0,12.0,29.0,2,2004
31,Petra Mandula,3.0,44.0,11.0,32.0,7.0,30.0,9,2004
32,Tina Pisnik,,,,,,30.0,3,2004
33,Dinara Safina,21.0,62.0,5.0,45.0,8.0,32.0,3,2004
34,Maria Vento Kabchi,,,,,,34.0,2,2004
35,Maria Sanchez Lorenzo,5.0,27.0,6.0,19.0,6.0,36.0,9,2004
36,Lina Krasnoroutskaya,,,,,,38.0,1,2004
37,Amy Frazier,,,,,,38.0,5,2004
38,Jelena Kostanic Tosic,,,,,,38.0,13,2004
39,Meghann Shaughnessy,4.0,45.0,8.0,32.5,7.5,38.0,3,2004
40,Alicia Molik,,,,,,39.0,6,2004
41,Magui Serna,4.0,47.0,8.0,29.0,12.0,40.0,3,2004
42,Elena Likhovtseva,0.0,57.0,5.0,38.0,10.0,43.0,2,2004
43,Nicole Pratt,,,,,,44.0,4,2004
44,Kristina Brandi,,,,,,44.0,1,2004
45,Daniela Hantuchova,,,,,,45.0,2,2004
46,Aniko Kapros,,,,,,48.0,2,2004
47,Anca Barna,,,,,,49.0,1,2004
48,Marion Bartoli,,,,,,50.0,3,2004
49,Shinobu Asagoe,0.0,62.0,2.0,36.0,12.333333333333334,51.0,6,2004
50,Iveta Benesova,,,,,,52.0,14,2004
51,Gisela Dulko,2.5,39.0,4.5,24.5,11.0,52.0,5,2004
52,Laura Granville,,,,,,53.0,1,2004
53,Barbara Schett,,,,,,54.0,8,2004
54,Akiko Morigami,,,,,,54.0,4,2004
55,Anabel Medina Garrigues,1.0,37.0,0.0,27.0,3.0,54.0,11,2004
56,Denisa Chladkova,1.0,31.0,4.0,22.0,5.0,55.0,9,2004
57,Katarina Srebotnik,0.5,37.0,0.5,24.5,4.0,56.0,8,2004
58,Klara Koukalova,,,,,,57.0,14,2004
59,Arantxa Parra Santonja,3.0,35.0,3.5,22.5,8.0,57.0,5,2004
60,Jie Zheng,0.0,68.0,6.0,45.0,7.0,58.0,4,2004
61,Jelena Jankovic,,,,,,59.0,9,2004
62,Marta Marrero,0.0,79.0,9.0,48.0,20.0,63.0,7,2004
63,Ludmila Cervanova,,,,,,63.0,12,2004
64,Melinda Czink,,,,,,64.0,2,2004
65,Claudine Schaul,,,,,,66.0,5,2004
66,Flavia Pennetta,,,,,,68.0,18,2004
67,Barbora Strycova,1.0,26.0,4.0,20.0,2.0,68.0,8,2004
68,Maria Elena Camerin,1.0,56.0,2.0,33.0,10.0,69.0,4,2004
69,Martina Sucha,,,,,,69.0,7,2004
70,Lubomira Kurhajcova,,,,,,69.0,11,2004
71,Myriam Casanova,2.5,47.5,6.5,31.0,10.5,71.0,5,2004
72,Julia Vakulenko,,,,,,71.0,4,2004
73,Tathiana Garbin,2.0,40.0,3.5,25.5,11.0,79.0,4,2004
74,Vera Dushevina,4.0,56.0,5.0,31.0,17.0,80.0,3,2004
75,Virginia Ruano Pascual,1.0,52.5,3.5,30.0,8.5,81.0,4,2004
76,Milagros Sequera,,,,,,83.0,3,2004
77,Rita Grande,1.0,45.0,2.0,27.0,10.0,83.0,4,2004
78,Els Callens,,,,,,84.0,1,2004
79,Alina Jidkova,,,,,,84.0,2,2004
80,Marie Gaiane Mikaelian,,,,,,84.0,3,2004
81,Henrieta Nagyova,,,,,,85.0,2,2004
82,Tatiana Perebiynis,,,,,,88.0,1,2004
83,Ashley Harkleroad,2.0,39.0,3.0,25.0,3.0,88.0,1,2004
84,Samantha Reeves,,,,,,92.0,1,2004
85,Gala Leon Garcia,,,,,,93.0,1,2004
86,Severine Beltrame,,,,,,94.0,1,2004
87,Marlene Weingartner,1.0,44.0,3.0,26.0,8.333333333333334,94.0,3,2004
88,Silvija Talaja,,,,,,94.0,1,2004
89,Stephanie Cohen Aloro,,,,,,96.0,5,2004
90,Anna Lena Groenefeld,4.0,27.0,5.0,21.0,4.0,97.0,1,2004
91,Emmanuelle Gagliardi,,,,,,97.0,2,2004
92,Maria Kirilenko,2.0,49.0,6.0,31.0,16.0,100.0,1,2004
93,Lindsay Davenport,2.5,50.75,8.0,35.75,9.25,1.0,11,2005
94,Maria Sharapova,3.0,39.0,4.5,26.75,5.5,2.0,9,2005
95,Amelie Mauresmo,2.3333333333333335,27.333333333333332,3.6666666666666665,21.333333333333332,2.3333333333333335,3.0,10,2005
96,Serena Williams,,,,,,4.0,2,2005
97,Elena Dementieva,0.3333333333333333,39.666666666666664,9.666666666666666,24.666666666666668,12.333333333333334,5.0,12,2005
98,Anastasia Myskina,,,,,,6.0,3,2005
99,Mary Pierce,1.2,44.2,1.6,29.2,6.2,6.0,14,2005
100,Svetlana Kuznetsova,4.6,36.6,2.6,27.0,5.0,7.0,8,2005
101,Venus Williams,2.5,43.0,8.0,30.5,10.5,8.0,10,2005
102,Nadia Petrova,2.2,43.0,3.4,28.6,9.4,9.0,15,2005
103,Vera Zvonareva,3.5,34.0,4.5,23.5,5.5,10.0,7,2005
104,Patty Schnyder,4.0,40.5,2.0,29.25,7.0,10.0,15,2005
105,Justine Henin,2.3333333333333335,36.666666666666664,5.583333333333333,25.166666666666668,7.166666666666667,12.0,24,2005
106,Elena Bovina,3.25,48.0,2.25,32.5,6.75,14.0,10,2005
107,Nathalie Dechy,1.5,48.0,3.25,29.75,8.25,15.0,7,2005
108,Elena Likhovtseva,1.8,54.6,3.8,33.2,11.6,16.0,8,2005
109,Kim Clijsters,3.0,38.666666666666664,4.666666666666667,27.166666666666668,6.0,17.0,8,2005
110,Silvia Farina Elia,0.25,37.75,2.25,24.0,4.75,19.0,11,2005
111,Jelena Jankovic,,,,,,20.0,9,2005
112,Francesca Schiavone,5.0,43.666666666666664,6.666666666666667,31.333333333333332,8.666666666666666,20.0,9,2005
113,Tatiana Golovin,1.5,24.5,2.5,18.0,1.0,20.0,6,2005
114,Shinobu Asagoe,1.0,36.0,2.0,26.0,3.0,21.0,6,2005
115,Daniela Hantuchova,4.0,33.333333333333336,2.6666666666666665,22.666666666666668,6.333333333333333,22.0,3,2005
116,Ai Sugiyama,,,,,,23.0,7,2005
117,Fabiola Zuluaga,2.0,19.0,1.0,17.0,0.0,24.0,5,2005
118,Flavia Pennetta,0.5,31.5,2.5,19.5,6.5,24.0,20,2005
119,Magdalena Maleeva,2.0,28.0,1.0,17.0,4.0,28.0,6,2005
120,Karolina Sprem,2.0,28.0,3.0,12.0,12.0,28.0,4,2005
121,Paola Suarez,,,,,,29.0,3,2005
122,Amy Frazier,2.0,74.0,8.0,45.0,8.0,30.0,3,2005
123,Ana Ivanovic,1.3333333333333333,38.333333333333336,2.6666666666666665,25.833333333333332,6.166666666666667,31.0,9,2005
124,Conchita Martinez,,,,,,32.0,6,2005
125,Gisela Dulko,1.0,40.0,8.0,24.0,15.0,32.0,9,2005
126,Anabel Medina Garrigues,4.0,45.0,0.0,25.0,9.0,33.0,16,2005
127,Meghann Shaughnessy,,,,,,34.0,4,2005
128,Nicole Vaidisova,12.0,36.0,4.0,28.0,4.0,34.0,8,2005
129,Dinara Safina,,,,,,34.0,9,2005
130,Anna Smashnova,,,,,,35.0,21,2005
131,Na Li,,,,,,35.0,7,2005
132,Virginie Razzano,1.0,31.5,3.0,24.0,3.5,36.0,10,2005
133,Anna Lena Groenefeld,4.0,39.0,3.5,27.0,8.0,36.0,11,2005
134,Klara Koukalova,,,,,,39.0,11,2005
135,Jelena Kostanic Tosic,3.0,32.0,2.0,26.0,4.0,40.0,9,2005
136,Shuai Peng,2.0,29.0,2.0,17.0,5.0,43.0,7,2005
137,Dally Randriantefy,,,,,,45.0,10,2005
138,Nuria Llagostera Vives,1.0,33.5,4.0,23.5,9.0,45.0,12,2005
139,Katarina Srebotnik,,,,,,46.0,7,2005
140,Lisa Raymond,,,,,,48.0,2,2005
141,Maria Kirilenko,,,,,,48.0,2,2005
142,Emilie Loit,1.5,31.0,3.0,21.5,7.5,49.0,11,2005
143,Marta Domachowska,5.5,35.5,5.5,27.0,5.0,50.0,10,2005
144,Evgenia Linetskaya,,,,,,50.0,3,2005
145,Iveta Benesova,,,,,,51.0,6,2005
146,Maria Vento Kabchi,3.0,9.0,0.0,8.0,0.0,53.0,3,2005
147,Samantha Stosur,4.0,27.0,2.0,25.0,0.0,53.0,3,2005
148,Denisa Chladkova,,,,,,54.0,2,2005
149,Vera Dushevina,,,,,,54.0,2,2005
150,Anna Chakvetadze,1.0,45.0,2.0,22.0,12.0,56.0,5,2005
151,Jie Zheng,,,,,,56.0,7,2005
152,Alina Jidkova,,,,,,57.0,2,2005
153,Kveta Peschke,1.0,31.0,5.0,26.0,3.0,59.0,6,2005
154,Roberta Vinci,,,,,,60.0,3,2005
155,Virginia Ruano Pascual,1.0,46.0,5.0,19.0,8.0,62.0,2,2005
156,Martina Sucha,,,,,,63.0,4,2005
157,Maria Sanchez Lorenzo,,,,,,65.0,2,2005
158,Tathiana Garbin,,,,,,65.0,7,2005
159,Maria Elena Camerin,,,,,,65.0,1,2005
160,Barbora Strycova,,,,,,66.0,5,2005
161,Mariana Diaz Oliva,1.0,71.0,1.0,38.0,10.0,67.0,13,2005
162,Mashona Washington,,,,,,67.0,2,2005
163,Arantxa Parra Santonja,3.0,49.0,0.0,27.0,13.0,69.0,6,2005
