,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
0,Amelie Mauresmo,3.3333333333333335,61.666666666666664,8.666666666666666,39.666666666666664,14.0,1.0,12,2004
1,Lindsay Davenport,4.75,48.5,3.25,31.0,10.75,1.0,10,2004
2,Justine Henin,3.5,33.0,7.0,19.5,11.0,1.0,4,2004
3,Anastasia Myskina,2.6666666666666665,43.0,4.333333333333333,24.666666666666668,11.0,2.0,17,2004
4,Kim Clijsters,1.0,60.0,6.0,37.0,8.0,2.0,4,2004
5,Svetlana Kuznetsova,5.0,48.0,3.0,28.0,9.333333333333334,4.0,22,2004
6,Jennifer Capriati,0.5,50.5,1.5,25.0,11.0,5.0,11,2004
7,Elena Dementieva,0.5,39.0,8.25,23.25,9.5,5.0,22,2004
8,Maria Sharapova,5.5,57.0,8.0,34.5,14.5,6.0,15,2004
9,Nadia Petrova,3.25,35.25,5.0,21.25,10.0,6.0,24,2004
10,Serena Williams,4.333333333333333,49.0,2.3333333333333335,29.333333333333332,8.666666666666666,7.0,10,2004
11,Venus Williams,6.666666666666667,50.333333333333336,5.333333333333333,32.0,7.666666666666667,8.0,14,2004
12,Ai Sugiyama,0.5,50.75,5.25,26.75,13.5,8.0,24,2004
13,Vera Zvonareva,2.5,36.75,6.0,22.5,11.0,9.0,26,2004
14,Chanda Rubin,0.0,56.0,3.0,27.0,13.5,10.0,12,2004
15,Paola Suarez,0.5,46.0,6.5,27.0,10.0,11.0,17,2004
16,Alicia Molik,4.0,37.0,1.0,23.333333333333332,8.666666666666666,13.0,19,2004
17,Silvia Farina Elia,0.8,66.4,1.8,39.0,11.6,14.0,24,2004
18,Jelena Dokic,2.3333333333333335,40.333333333333336,10.333333333333334,28.0,10.666666666666666,15.0,16,2004
19,Patty Schnyder,1.6666666666666667,42.333333333333336,4.333333333333333,25.333333333333332,7.0,15.0,23,2004
20,Conchita Martinez,3.3333333333333335,38.333333333333336,3.6666666666666665,23.333333333333332,8.666666666666666,16.0,16,2004
21,Elena Bovina,2.0,57.0,3.3333333333333335,32.0,12.0,17.0,17,2004
22,Meghann Shaughnessy,7.75,44.75,6.0,32.25,10.5,17.0,21,2004
23,Francesca Schiavone,3.0,31.75,2.0,18.25,11.5,17.0,24,2004
24,Anna Smashnova,0.0,43.5,4.0,20.5,12.5,17.0,23,2004
25,Karolina Sprem,1.75,37.0,6.75,21.75,11.0,17.0,23,2004
26,Daniela Hantuchova,2.5,44.5,3.75,25.5,9.5,18.0,24,2004
27,Magui Serna,3.0,45.0,7.0,27.75,11.5,19.0,17,2004
28,Magdalena Maleeva,1.5,40.25,2.0,21.75,10.5,19.0,24,2004
29,Fabiola Zuluaga,0.3333333333333333,37.333333333333336,2.3333333333333335,22.333333333333332,10.333333333333334,20.0,19,2004
30,Nathalie Dechy,0.3333333333333333,49.666666666666664,5.0,29.0,10.0,21.0,24,2004
31,Eleni Daniilidou,0.6666666666666666,71.66666666666667,7.333333333333333,43.0,14.0,22.0,21,2004
32,Mary Pierce,1.6666666666666667,43.666666666666664,2.6666666666666665,25.666666666666668,9.333333333333334,23.0,16,2004
33,Amy Frazier,1.0,53.25,9.25,29.5,12.0,23.0,17,2004
34,Elena Likhovtseva,1.5,45.5,6.0,26.5,10.5,24.0,23,2004
35,Lisa Raymond,2.5,43.0,2.75,25.75,9.5,24.0,21,2004
36,Lina Krasnoroutskaya,1.0,36.0,8.0,24.0,7.0,25.0,13,2004
37,Maria Vento Kabchi,1.0,38.666666666666664,8.666666666666666,21.0,11.333333333333334,26.0,26,2004
38,Amanda Coetzer,0.0,46.0,1.0,21.0,10.0,27.0,3,2004
39,Tatiana Golovin,1.5,41.0,4.5,18.5,12.5,27.0,13,2004
