,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
0,Amelie Mauresmo,4.9411764705882355,32.94117647058823,3.411764705882353,25.41176470588235,2.8823529411764706,1.0,60,2004
1,Justine Henin,2.909090909090909,31.454545454545453,5.0,22.09090909090909,7.090909090909091,1.0,36,2004
2,Lindsay Davenport,4.625,31.8125,3.25,25.0625,3.375,1.0,64,2004
3,Kim Clijsters,1.0,37.5,4.5,26.166666666666668,5.0,2.0,20,2004
4,Anastasia Myskina,1.9166666666666667,40.0,5.0,27.333333333333332,7.416666666666667,3.0,56,2004
5,Svetlana Kuznetsova,5.75,37.0,2.0,26.25,4.25,4.0,57,2004
6,Elena Dementieva,1.0,48.55555555555556,10.555555555555555,30.77777777777778,10.777777777777779,5.0,40,2004
7,Jennifer Capriati,2.7857142857142856,43.5,2.9285714285714284,29.928571428571427,4.785714285714286,5.0,25,2004
8,Nadia Petrova,5.666666666666667,37.333333333333336,3.6666666666666665,27.333333333333332,3.0,6.0,40,2004
9,Serena Williams,6.846153846153846,36.38461538461539,2.6153846153846154,27.23076923076923,4.923076923076923,6.0,36,2004
10,Maria Sharapova,4.5,38.57142857142857,4.071428571428571,28.071428571428573,4.428571428571429,6.0,53,2004
11,Venus Williams,3.3,34.7,4.3,25.6,4.7,8.0,44,2004
12,Ai Sugiyama,1.5714285714285714,40.285714285714285,4.0,28.142857142857142,6.714285714285714,8.0,32,2004
13,Vera Zvonareva,3.5555555555555554,34.888888888888886,4.888888888888889,25.0,6.111111111111111,9.0,53,2004
14,Chanda Rubin,1.4,39.2,2.8,27.2,6.2,10.0,19,2004
15,Paola Suarez,1.3,42.0,4.3,27.4,6.0,11.0,38,2004
16,Alicia Molik,6.25,36.0,2.5,26.25,3.25,13.0,42,2004
17,Silvia Farina Elia,0.8571428571428571,62.42857142857143,1.8571428571428572,35.285714285714285,10.714285714285714,14.0,41,2004
18,Jelena Dokic,,,,,,15.0,9,2004
19,Patty Schnyder,3.888888888888889,43.888888888888886,2.5555555555555554,29.333333333333332,6.333333333333333,15.0,33,2004
20,Conchita Martinez,2.0,32.0,4.0,24.0,4.0,16.0,20,2004
21,Elena Bovina,2.6,36.0,2.6,24.8,6.0,17.0,35,2004
22,Karolina Sprem,4.666666666666667,49.666666666666664,5.0,34.333333333333336,10.333333333333334,17.0,32,2004
23,Francesca Schiavone,3.8,31.6,2.2,24.2,5.8,17.0,34,2004
24,Anna Smashnova,,,,,,17.0,28,2004
25,Meghann Shaughnessy,4.0,45.0,8.0,32.5,7.5,20.0,19,2004
26,Magui Serna,4.666666666666667,41.666666666666664,6.0,28.666666666666668,8.666666666666666,21.0,11,2004
27,Daniela Hantuchova,2.75,45.0,2.25,29.0,6.25,21.0,25,2004
