,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
0,Anastasia Myskina,6.0,56.0,6.0,31.0,16.0,3.0,1,2004
1,Amelie Mauresmo,4.0,75.0,8.0,47.0,8.0,4.0,2,2004
2,Lindsay Davenport,9.0,73.0,6.0,51.0,10.0,5.0,1,2004
3,Elena Dementieva,1.0,51.0,11.0,35.0,11.0,6.0,1,2004
4,Jennifer Capriati,0.0,31.0,2.0,11.0,12.0,7.0,1,2004
5,Venus Williams,3.0,55.0,4.0,35.0,7.0,8.0,1,2004
6,Svetlana Kuznetsova,12.0,49.0,2.0,37.0,4.0,9.0,1,2004
7,Serena Williams,3.0,33.0,1.0,20.0,10.0,10.0,1,2004
8,Paola Suarez,0.0,48.0,6.0,27.0,11.0,11.0,1,2004
9,Ai Sugiyama,1.0,70.0,5.0,43.0,17.0,12.0,2,2004
10,Nadia Petrova,6.0,45.0,3.0,29.0,14.0,12.0,3,2004
11,Vera Zvonareva,4.0,41.0,4.0,27.0,9.0,14.0,2,2004
12,Silvia Farina Elia,1.0,57.0,1.0,33.0,11.0,16.0,2,2004
13,Patty Schnyder,,,,,,16.0,3,2004
14,Francesca Schiavone,,,,,,17.0,2,2004
15,Anna Smashnova,,,,,,18.0,2,2004
16,Chanda Rubin,,,,,,20.0,1,2004
17,Magdalena Maleeva,2.0,37.0,1.0,22.0,8.0,21.0,3,2004
18,Fabiola Zuluaga,,,,,,21.0,2,2004
19,Elena Bovina,,,,,,21.0,2,2004
20,Mary Pierce,0.0,50.0,3.0,28.0,11.0,23.0,1,2004
21,Jelena Dokic,2.0,34.0,9.0,23.0,7.0,24.0,3,2004
22,Conchita Martinez,,,,,,24.0,2,2004
23,Alicia Molik,,,,,,26.0,3,2004
24,Nathalie Dechy,0.0,46.0,6.0,30.0,9.0,27.0,3,2004
25,Lisa Raymond,5.0,44.0,2.0,29.0,8.0,27.0,2,2004
26,Emilie Loit,,,,,,28.0,3,2004
27,Eleni Daniilidou,,,,,,30.0,3,2004
28,Karolina Sprem,0.0,31.0,4.0,15.0,11.0,30.0,2,2004
29,Dinara Safina,1.0,20.0,0.0,9.0,7.0,31.0,2,2004
30,Amy Frazier,1.0,49.0,12.0,29.0,8.0,33.0,2,2004
31,Maria Vento Kabchi,,,,,,33.0,3,2004
32,Meghann Shaughnessy,11.0,61.0,7.0,42.0,11.0,35.0,1,2004
33,Jelena Kostanic Tosic,0.0,44.0,2.0,17.0,12.0,37.0,2,2004
34,Shinobu Asagoe,4.0,42.0,1.0,26.0,2.0,38.0,2,2004
35,Daniela Hantuchova,2.0,35.0,0.0,21.0,8.0,38.0,3,2004
36,Elena Likhovtseva,,,,,,39.0,3,2004
37,Petra Mandula,,,,,,40.0,1,2004
38,Nicole Pratt,,,,,,41.0,1,2004
39,Claudine Schaul,2.0,28.0,8.0,19.0,10.0,42.0,3,2004
40,Lina Krasnoroutskaya,,,,,,42.0,3,2004
41,Saori Obata,,,,,,44.0,2,2004
42,Tina Pisnik,,,,,,45.0,3,2004
43,Jelena Jankovic,,,,,,46.0,3,2004
44,Kristina Brandi,0.0,8.0,2.0,2.0,6.0,47.0,1,2004
45,Maria Sanchez Lorenzo,,,,,,48.0,3,2004
46,Anca Barna,,,,,,48.0,3,2004
47,Jie Zheng,1.0,44.0,1.0,26.0,9.0,48.0,3,2004
48,Aniko Kapros,0.0,71.0,3.0,34.0,25.0,49.0,1,2004
49,Magui Serna,1.0,35.0,6.0,23.0,8.0,49.0,3,2004
50,Anabel Medina Garrigues,,,,,,51.0,2,2004
51,Tatiana Golovin,2.0,36.0,4.0,13.0,10.0,54.0,2,2004
52,Iveta Benesova,,,,,,55.0,1,2004
53,Arantxa Parra Santonja,8.0,60.0,3.0,39.0,21.0,55.0,3,2004
54,Tathiana Garbin,,,,,,56.0,1,2004
55,Akiko Morigami,0.0,33.0,2.0,17.0,7.0,56.0,3,2004
56,Tamarine Tanasugarn,1.0,54.0,2.0,30.0,9.0,58.0,2,2004
57,Barbora Strycova,,,,,,59.0,2,2004
58,Gisela Dulko,1.0,34.0,5.0,23.0,9.0,59.0,2,2004
59,Marta Marrero,0.0,27.0,4.0,16.0,10.0,60.0,3,2004
60,Klara Koukalova,,,,,,60.0,2,2004
61,Katarina Srebotnik,,,,,,61.0,3,2004
62,Jill Craybas,,,,,,64.0,2,2004
63,Lubomira Kurhajcova,1.0,34.0,3.0,20.0,5.0,65.0,1,2004
64,Virginia Ruano Pascual,0.0,64.0,5.0,30.0,15.0,67.0,2,2004
65,Martina Sucha,,,,,,68.0,2,2004
66,Denisa Chladkova,,,,,,69.0,2,2004
67,Marlene Weingartner,,,,,,70.0,1,2004
68,Laura Granville,,,,,,72.0,1,2004
69,Maria Elena Camerin,,,,,,72.0,3,2004
70,Myriam Casanova,,,,,,74.0,1,2004
71,Vera Dushevina,3.0,30.0,3.0,20.0,9.0,75.0,1,2004
72,Alina Jidkova,,,,,,76.0,2,2004
73,Flavia Pennetta,5.0,56.0,3.0,38.0,7.0,77.0,3,2004
74,Mara Santangelo,,,,,,78.0,2,2004
75,Shenay Perry,,,,,,78.0,2,2004
76,Milagros Sequera,,,,,,79.0,3,2004
77,Marion Bartoli,,,,,,79.0,2,2004
78,Melinda Czink,,,,,,80.0,2,2004
79,Cara Black,,,,,,81.0,3,2004
80,Barbara Schett,7.0,61.0,4.0,34.0,19.0,82.0,2,2004
81,Ludmila Cervanova,0.0,28.0,3.0,17.0,10.0,82.0,2,2004
82,Els Callens,2.0,37.0,2.0,19.0,8.0,83.0,2,2004
83,Maria Kirilenko,,,,,,85.0,3,2004
84,Samantha Stosur,,,,,,86.0,2,2004
85,Tatiana Perebiynis,,,,,,86.0,2,2004
86,Anna Lena Groenefeld,,,,,,88.0,1,2004
87,Lindsay Lee Waters,,,,,,89.0,1,2004
88,Henrieta Nagyova,,,,,,91.0,1,2004
89,Samantha Reeves,3.0,41.0,9.0,26.0,9.0,92.0,1,2004
90,Marissa Irvin,,,,,,93.0,1,2004
91,Severine Beltrame,,,,,,94.0,1,2004
92,Dally Randriantefy,0.0,27.0,3.0,13.0,5.0,95.0,1,2004
93,Julia Vakulenko,,,,,,96.0,2,2004
94,Stephanie Cohen Aloro,,,,,,96.0,2,2004
95,Rita Grande,,,,,,99.0,1,2004
96,Mervana Jugic Salkic,,,,,,99.0,1,2004
97,Lindsay Davenport,5.0,80.0,5.0,49.0,8.0,1.0,1,2005
98,Maria Sharapova,0.0,55.0,2.0,28.0,9.0,2.0,1,2005
