,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
0,Anastasia Myskina,3.0,46.5,4.5,32.5,10.0,3.0,2,2004
1,Amelie Mauresmo,5.2,38.0,3.6,29.0,5.0,4.0,7,2004
2,Lindsay Davenport,4.4,24.8,1.4,20.2,1.6,5.0,5,2004
3,Jennifer Capriati,3.0,34.0,1.75,24.75,2.25,7.0,4,2004
4,Venus Williams,7.0,29.0,1.0,26.0,3.0,8.0,1,2004
5,Svetlana Kuznetsova,,,,,,9.0,4,2004
6,Serena Williams,7.5,37.666666666666664,1.5,27.833333333333332,6.0,10.0,6,2004
7,Paola Suarez,1.0,47.5,2.5,32.0,5.5,11.0,4,2004
8,Ai Sugiyama,0.5,53.0,3.5,34.0,9.0,12.0,5,2004
9,Nadia Petrova,12.0,48.0,6.0,35.0,5.0,13.0,3,2004
10,Vera Zvonareva,5.0,32.0,2.0,24.0,3.0,14.0,5,2004
11,Maria Sharapova,5.142857142857143,39.42857142857143,4.0,29.428571428571427,4.857142857142857,15.0,12,2004
12,Patty Schnyder,1.0,34.0,2.0,25.0,2.0,16.0,4,2004
13,Francesca Schiavone,,,,,,17.0,2,2004
14,Silvia Farina Elia,2.0,74.0,2.0,34.0,15.0,19.0,3,2004
15,Elena Bovina,,,,,,21.0,2,2004
16,Magdalena Maleeva,6.0,39.0,3.0,34.0,2.0,21.0,6,2004
17,Conchita Martinez,,,,,,24.0,1,2004
18,Mary Pierce,,,,,,26.0,5,2004
19,Alicia Molik,,,,,,26.0,4,2004
20,Nathalie Dechy,,,,,,27.0,3,2004
21,Lisa Raymond,7.0,40.0,1.0,33.0,6.0,27.0,1,2004
22,Karolina Sprem,4.666666666666667,49.666666666666664,5.0,34.333333333333336,10.333333333333334,30.0,5,2004
23,Maria Vento Kabchi,,,,,,34.0,2,2004
24,Meghann Shaughnessy,,,,,,35.0,2,2004
25,Amy Frazier,1.0,70.0,11.0,37.0,18.0,36.0,3,2004
26,Emilie Loit,,,,,,36.0,4,2004
27,Daniela Hantuchova,1.0,32.0,2.0,23.0,3.0,38.0,7,2004
28,Shinobu Asagoe,,,,,,38.0,2,2004
29,Elena Likhovtseva,,,,,,39.0,2,2004
30,Claudine Schaul,,,,,,43.0,2,2004
31,Lina Krasnoroutskaya,,,,,,44.0,3,2004
32,Saori Obata,,,,,,44.0,4,2004
33,Kristina Brandi,,,,,,47.0,1,2004
34,Tina Pisnik,,,,,,47.0,2,2004
35,Maria Sanchez Lorenzo,,,,,,48.0,5,2004
36,Anca Barna,,,,,,48.0,2,2004
37,Aniko Kapros,,,,,,49.0,1,2004
38,Jelena Jankovic,,,,,,52.0,4,2004
39,Magui Serna,5.0,40.0,2.0,28.0,8.0,53.0,2,2004
40,Tatiana Golovin,3.0,58.0,5.0,41.0,6.0,54.0,8,2004
41,Arantxa Parra Santonja,4.0,14.0,1.0,12.0,2.0,55.0,2,2004
42,Akiko Morigami,,,,,,56.0,3,2004
