,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
0,Amelie Mauresmo,3.0,55.0,9.0,36.0,17.0,1.0,7,2004
1,Lindsay Davenport,5.0,47.5,2.0,31.5,10.5,1.0,5,2004
2,Justine Henin,5.0,33.0,4.0,21.0,11.0,1.0,2,2004
3,Anastasia Myskina,1.0,36.5,3.5,21.5,8.5,2.0,13,2004
4,Kim Clijsters,1.0,60.0,6.0,37.0,8.0,2.0,3,2004
5,Svetlana Kuznetsova,2.0,36.0,4.0,18.0,12.0,4.0,14,2004
6,Jennifer Capriati,1.0,70.0,1.0,39.0,10.0,5.0,7,2004
7,Elena Dementieva,0.0,42.0,6.0,23.5,9.5,5.0,14,2004
8,Maria Sharapova,5.5,57.0,8.0,34.5,14.5,6.0,12,2004
9,Serena Williams,5.0,57.0,3.0,34.0,8.0,8.0,6,2004
10,Ai Sugiyama,0.0,37.5,5.0,18.0,11.0,8.0,14,2004
11,Vera Zvonareva,2.5,32.0,7.0,20.5,11.0,9.0,18,2004
12,Chanda Rubin,0.0,56.0,3.0,27.0,13.5,10.0,8,2004
13,Venus Williams,8.5,48.0,6.0,30.5,8.0,10.0,9,2004
14,Nadia Petrova,2.0,33.5,6.0,20.5,5.5,11.0,16,2004
15,Alicia Molik,4.0,31.5,1.0,18.5,7.0,13.0,10,2004
16,Paola Suarez,1.0,44.0,7.0,27.0,9.0,13.0,11,2004
17,Silvia Farina Elia,1.0,66.5,1.5,39.0,10.0,14.0,15,2004
18,Jelena Dokic,4.0,47.0,13.0,37.0,11.0,15.0,6,2004
19,Patty Schnyder,1.5,35.5,3.0,21.5,4.0,15.0,12,2004
20,Conchita Martinez,4.0,39.0,4.0,24.0,9.5,16.0,10,2004
21,Karolina Sprem,2.5,41.5,6.0,26.5,10.5,17.0,14,2004
22,Meghann Shaughnessy,6.0,38.0,4.5,28.0,9.0,17.0,16,2004
23,Francesca Schiavone,2.5,29.0,1.0,16.5,11.5,17.0,15,2004
24,Anna Smashnova,0.0,43.5,4.0,20.5,12.5,17.0,13,2004
25,Elena Bovina,2.0,55.5,3.5,32.0,10.5,17.0,9,2004
26,Daniela Hantuchova,3.0,55.0,5.5,33.5,9.0,18.0,14,2004
27,Magui Serna,4.5,50.5,7.5,33.5,13.0,19.0,11,2004
28,Magdalena Maleeva,2.0,49.5,3.0,25.5,13.0,19.0,15,2004
29,Fabiola Zuluaga,0.5,37.0,2.0,21.5,11.0,20.0,12,2004
30,Eleni Daniilidou,0.5,77.5,7.0,48.5,13.5,22.0,12,2004
31,Nathalie Dechy,0.0,41.0,2.0,18.0,9.0,22.0,16,2004
32,Amy Frazier,1.5,65.5,9.0,35.5,15.5,23.0,11,2004
33,Elena Likhovtseva,1.0,26.0,5.0,15.0,7.0,24.0,14,2004
34,Lisa Raymond,2.5,45.0,3.0,26.5,10.0,24.0,12,2004
35,Lina Krasnoroutskaya,1.0,36.0,8.0,24.0,7.0,25.0,7,2004
36,Mary Pierce,4.0,47.0,4.0,33.0,6.0,26.0,9,2004
37,Maria Vento Kabchi,1.0,37.5,7.0,19.5,9.0,26.0,18,2004
38,Amanda Coetzer,0.0,46.0,1.0,21.0,10.0,27.0,2,2004
39,Tatiana Golovin,1.0,46.0,5.0,24.0,15.0,28.0,8,2004
40,Jelena Jankovic,0.5,58.5,12.5,33.0,15.5,29.0,19,2004
41,Tina Pisnik,1.5,39.0,4.5,17.5,12.0,29.0,13,2004
42,Dinara Safina,0.5,28.5,4.5,15.0,9.5,31.0,9,2004
43,Jelena Kostanic Tosic,0.5,40.5,2.5,21.5,10.5,32.0,18,2004
44,Tamarine Tanasugarn,3.0,42.5,5.5,23.5,10.0,32.0,18,2004
45,Gisela Dulko,0.0,23.0,2.0,13.0,7.0,33.0,11,2004
46,Maria Sanchez Lorenzo,1.5,42.5,8.5,26.5,14.5,34.0,14,2004
47,Emilie Loit,1.5,32.5,5.0,15.5,8.5,36.0,11,2004
48,Nicole Pratt,0.0,52.5,5.0,30.5,13.5,37.0,18,2004
49,Iveta Benesova,,,,,,37.0,11,2004
50,Katarina Srebotnik,2.0,30.0,8.0,12.0,11.5,37.0,10,2004
51,Marion Bartoli,1.0,52.0,3.0,26.0,14.0,38.0,15,2004
52,Petra Mandula,1.0,68.0,7.0,39.5,14.0,38.0,11,2004
53,Saori Obata,0.0,39.0,3.0,18.0,8.0,39.0,14,2004
54,Shinobu Asagoe,0.0,30.5,0.5,14.5,6.5,39.0,15,2004
55,Flavia Pennetta,6.5,47.5,9.5,28.0,15.5,40.0,11,2004
56,Kristina Brandi,0.0,47.5,2.5,26.5,10.5,41.0,16,2004
57,Denisa Chladkova,0.0,46.0,3.0,28.0,9.5,41.0,11,2004
58,Ashley Harkleroad,0.0,38.0,2.0,17.0,6.0,43.0,5,2004
59,Anabel Medina Garrigues,2.0,59.5,2.0,29.5,10.0,44.0,12,2004
60,Laura Granville,2.0,47.0,3.5,28.5,9.5,44.0,12,2004
61,Klara Koukalova,,,,,,45.0,12,2004
62,Maria Elena Camerin,0.5,31.0,2.0,15.0,8.5,45.0,11,2004
63,Marlene Weingartner,2.5,31.0,5.5,17.0,8.5,45.0,12,2004
64,Cara Black,1.0,52.0,2.0,27.0,12.0,46.0,5,2004
65,Claudine Schaul,2.5,66.5,3.0,39.0,15.0,47.0,13,2004
66,Anca Barna,1.5,42.0,1.5,25.5,10.5,47.0,18,2004
67,Marta Marrero,1.0,36.5,4.5,21.5,11.5,49.0,10,2004
68,Akiko Morigami,1.0,43.0,5.5,22.0,11.5,51.0,15,2004
69,Mashona Washington,4.0,38.0,4.0,26.0,10.0,51.0,8,2004
70,Aniko Kapros,0.5,31.0,4.5,14.5,11.5,52.0,11,2004
71,Arantxa Parra Santonja,4.5,29.0,2.5,17.5,5.5,52.0,14,2004
72,Tathiana Garbin,2.5,69.5,8.0,44.5,12.0,53.0,13,2004
73,Virginia Ruano Pascual,0.5,57.0,3.0,26.5,11.0,53.0,11,2004
