,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,matches_won,year,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,matches_lost,W/L%
0,Amelie Mauresmo,5.571428571428571,31.857142857142858,3.142857142857143,25.285714285714285,2.142857142857143,1.0,35,2004,3.0,55.0,9.0,36.0,17.0,1.0,7.0,0.8333333333333334
1,Justine Henin,3.0,30.9,4.7,22.1,7.1,1.0,32,2004,5.0,33.0,4.0,21.0,11.0,1.0,2.0,0.9411764705882353
2,Lindsay Davenport,5.222222222222222,34.22222222222222,3.7777777777777777,27.333333333333332,3.5555555555555554,1.0,40,2004,5.0,47.5,2.0,31.5,10.5,1.0,5.0,0.8888888888888888
3,Kim Clijsters,1.0,37.5,4.5,26.166666666666668,5.0,2.0,13,2004,1.0,60.0,6.0,37.0,8.0,2.0,3.0,0.8125
4,Anastasia Myskina,2.2,35.0,3.6,24.8,6.4,3.0,32,2004,1.0,36.5,3.5,21.5,8.5,2.0,13.0,0.7111111111111111
5,Svetlana Kuznetsova,6.222222222222222,37.44444444444444,1.5555555555555556,26.666666666666668,3.7777777777777777,4.0,40,2004,2.0,36.0,4.0,18.0,12.0,4.0,14.0,0.7407407407407407
6,Elena Dementieva,0.4,54.6,9.6,33.6,12.6,5.0,27,2004,0.0,42.0,6.0,23.5,9.5,5.0,14.0,0.6585365853658537
7,Jennifer Capriati,2.8,49.0,2.6,32.8,4.0,5.0,12,2004,1.0,70.0,1.0,39.0,10.0,5.0,7.0,0.631578947368421
8,Maria Sharapova,4.75,39.75,4.0,29.25,2.5,6.0,34,2004,5.5,57.0,8.0,34.5,14.5,6.0,12.0,0.7391304347826086
9,Serena Williams,8.25,32.0,2.75,25.5,2.5,6.0,23,2004,5.0,57.0,3.0,34.0,8.0,8.0,6.0,0.7931034482758621
10,Ai Sugiyama,2.25,36.25,4.0,28.0,4.25,8.0,22,2004,0.0,37.5,5.0,18.0,11.0,8.0,14.0,0.6111111111111112
