,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
0,Amelie Mauresmo,5.571428571428571,31.857142857142858,3.142857142857143,25.285714285714285,2.142857142857143,1.0,35,2004
1,Justine Henin,3.0,30.9,4.7,22.1,7.1,1.0,32,2004
2,Lindsay Davenport,5.222222222222222,34.22222222222222,3.7777777777777777,27.333333333333332,3.5555555555555554,1.0,40,2004
3,Kim Clijsters,1.0,37.5,4.5,26.166666666666668,5.0,2.0,13,2004
4,Anastasia Myskina,2.2,35.0,3.6,24.8,6.4,3.0,32,2004
5,Svetlana Kuznetsova,6.222222222222222,37.44444444444444,1.5555555555555556,26.666666666666668,3.7777777777777777,4.0,40,2004
6,Elena Dementieva,0.4,54.6,9.6,33.6,12.6,5.0,27,2004
7,Jennifer Capriati,2.8,49.0,2.6,32.8,4.0,5.0,12,2004
8,Maria Sharapova,4.75,39.75,4.0,29.25,2.5,6.0,34,2004
9,Serena Williams,8.25,32.0,2.75,25.5,2.5,6.0,23,2004
10,Ai Sugiyama,2.25,36.25,4.0,28.0,4.25,8.0,22,2004
11,Vera Zvonareva,3.6666666666666665,34.833333333333336,5.666666666666667,25.166666666666668,5.833333333333333,9.0,35,2004
12,Chanda Rubin,1.4,39.2,2.8,27.2,6.2,10.0,15,2004
13,Venus Williams,3.6,34.6,4.8,24.8,4.0,10.0,21,2004
14,Nadia Petrova,4.75,37.0,2.5,26.75,2.75,11.0,28,2004
15,Alicia Molik,6.25,36.0,2.5,26.25,3.25,13.0,31,2004
16,Paola Suarez,1.5,37.0,3.75,25.5,4.75,13.0,20,2004
17,Silvia Farina Elia,0.6,60.4,2.2,35.6,9.6,14.0,25,2004
18,Jelena Dokic,,,,,,15.0,3,2004
19,Patty Schnyder,4.428571428571429,46.142857142857146,3.0,30.571428571428573,7.428571428571429,15.0,18,2004
20,Conchita Martinez,,,,,,16.0,9,2004
21,Elena Bovina,2.3333333333333335,44.0,2.3333333333333335,29.666666666666668,5.0,17.0,23,2004
22,Francesca Schiavone,3.5,33.0,2.0,27.0,6.0,17.0,20,2004
23,Anna Smashnova,,,,,,17.0,12,2004
24,Karolina Sprem,,,,,,18.0,17,2004
25,Meghann Shaughnessy,,,,,,20.0,14,2004
26,Magui Serna,5.0,38.0,8.0,29.0,6.0,21.0,5,2004
27,Daniela Hantuchova,3.3333333333333335,49.333333333333336,2.3333333333333335,31.0,7.333333333333333,21.0,13,2004
28,Magdalena Maleeva,2.0,44.5,3.0,28.0,8.5,21.0,12,2004
29,Nathalie Dechy,2.8,54.6,2.4,34.0,9.2,22.0,28,2004
30,Fabiola Zuluaga,2.6666666666666665,39.833333333333336,3.3333333333333335,27.5,4.333333333333333,23.0,18,2004
31,Amy Frazier,2.0,43.25,6.75,27.75,8.0,23.0,27,2004
32,Elena Likhovtseva,2.5,36.5,2.5,26.5,4.5,24.0,19,2004
33,Lisa Raymond,4.5,41.666666666666664,2.0,29.333333333333332,4.333333333333333,24.0,18,2004
34,Eleni Daniilidou,2.4,51.8,5.0,34.2,8.6,24.0,21,2004
35,Lina Krasnoroutskaya,5.5,48.5,7.0,30.5,11.5,25.0,3,2004
36,Maria Vento Kabchi,0.5,51.5,7.5,29.0,10.0,26.0,13,2004
37,Mary Pierce,1.0,33.333333333333336,1.0,26.0,3.0,26.0,12,2004
38,Amanda Coetzer,0.0,52.0,1.0,30.0,6.0,27.0,2,2004
39,Tatiana Golovin,2.0,34.5,7.5,23.0,8.5,28.0,12,2004
40,Jelena Jankovic,1.5,39.0,5.5,25.0,7.5,29.0,17,2004
41,Dinara Safina,4.5,40.0,5.5,29.0,6.5,31.0,12,2004
42,Jelena Kostanic Tosic,1.0,48.5,1.0,27.5,12.5,32.0,11,2004
43,Tina Pisnik,,,,,,33.0,2,2004
44,Maria Sanchez Lorenzo,,,,,,34.0,7,2004
45,Gisela Dulko,9.0,42.0,5.0,30.0,6.0,34.0,17,2004
46,Tamarine Tanasugarn,,,,,,35.0,19,2004
47,Nicole Pratt,0.3333333333333333,55.0,4.0,35.0,8.666666666666666,37.0,17,2004
48,Iveta Benesova,,,,,,37.0,10,2004
49,Shinobu Asagoe,2.6666666666666665,66.0,3.0,39.0,13.333333333333334,39.0,13,2004
50,Petra Mandula,0.5,65.0,7.5,37.5,21.0,39.0,3,2004
51,Emilie Loit,1.0,45.0,2.0,34.0,7.0,39.0,6,2004
52,Flavia Pennetta,,,,,,40.0,8,2004
53,Marion Bartoli,2.0,42.5,4.5,32.0,4.5,40.0,21,2004
54,Saori Obata,1.0,53.0,6.0,30.0,10.5,41.0,3,2004
55,Kristina Brandi,0.0,48.5,1.5,33.0,5.5,41.0,21,2004
56,Denisa Chladkova,1.0,45.0,1.0,31.0,6.0,43.0,9,2004
57,Laura Granville,0.5,37.5,2.0,24.5,6.0,44.0,15,2004
58,Anabel Medina Garrigues,2.0,51.333333333333336,0.0,30.666666666666668,6.666666666666667,45.0,12,2004
59,Marlene Weingartner,,,,,,45.0,8,2004
60,Maria Elena Camerin,1.5,33.5,2.5,20.5,7.5,45.0,16,2004
61,Ashley Harkleroad,,,,,,47.0,5,2004
62,Anca Barna,2.0,50.0,5.0,35.0,9.0,47.0,13,2004
63,Cara Black,2.0,68.0,2.0,43.0,12.0,48.0,3,2004
64,Marta Marrero,,,,,,49.0,7,2004
65,Klara Koukalova,,,,,,50.0,8,2004
66,Claudine Schaul,0.0,24.5,3.0,16.5,4.5,51.0,11,2004
67,Aniko Kapros,3.0,39.666666666666664,3.6666666666666665,25.0,8.666666666666666,52.0,9,2004
68,Virginia Ruano Pascual,1.5,44.5,1.5,29.0,7.0,55.0,5,2004
69,Alina Jidkova,,,,,,57.0,10,2004
70,Arantxa Parra Santonja,4.0,35.0,1.0,22.0,10.0,57.0,10,2004
71,Jie Zheng,,,,,,59.0,6,2004
72,Jill Craybas,1.0,31.0,4.0,18.0,5.0,59.0,8,2004
73,Tathiana Garbin,3.0,21.0,1.0,18.0,1.0,59.0,8,2004
74,Emmanuelle Gagliardi,1.0,55.0,0.0,33.0,8.0,60.0,3,2004
75,Mashona Washington,,,,,,61.0,8,2004
76,Akiko Morigami,1.5,46.5,3.0,31.0,10.0,61.0,9,2004
77,Ludmila Cervanova,0.0,58.0,2.0,34.0,8.0,64.0,1,2004
78,Barbora Strycova,,,,,,64.0,5,2004
79,Katarina Srebotnik,4.0,34.0,3.0,26.0,1.0,68.0,5,2004
80,Dally Randriantefy,1.0,45.0,2.0,30.0,9.0,69.0,3,2004
