,player_id,hand,year_of_birth,ioc,height,wikidata_id,player_name
643,100644,R,1997,GER,198.0,Q13990552,Alexander Zverev
1494,101495,R,2006,COL,185.0,Q3313008,Miguel Tobon
2059,102060,R,1999,VEN,185.0,Q85768953,Ignacio Martinez
2092,102093,L,2003,USA,203.0,Q381173,Martin Damm
2771,102772,R,2002,CHN,,Q104840456,Yu Zhang
3485,103486,R,1980,GER,,Q4888502,Benjamin Ebrahimzadeh
3486,103487,R,1980,ITA,188.0,Q1332955,Federico Luzzi
3487,103488,R,1980,SWE,,,Carl Henrik Hansen
3488,103489,R,1980,USA,,,Nathan Zeder
3489,103490,R,1980,ESP,183.0,Q367978,Santiago Ventura
3490,103491,U,1980,DEN,,,Mads Gottlieb
3491,103492,R,1980,MEX,,,Pablo Martinez
3492,103493,R,1980,BRA,,,Eduardo Bohrer
3493,103494,U,1980,ARG,,,Juan Ignacio Herrero
3494,103495,U,1980,EGY,,,Marwan Ziwar
3495,103496,U,1980,MAR,,,Jalal Chafai
3496,103497,R,1980,RUS,,Q4797415,Artem Derepasko
3497,103498,R,1980,RUS,193.0,Q133318,Marat Safin
3498,103499,R,1980,PAK,,Q4782530,Aqeel Khan
3499,103500,R,1980,SVK,,,Frantisek Babej
3500,103501,R,1980,IND,,,Vijay Kannan
3501,103502,U,1980,AUS,,,Ben Mathias
3502,103503,R,1980,CZE,183.0,Q3174234,Robin Vik
3503,103504,R,1980,INA,,Q12482840,Febi Widhiyanto
3504,103505,R,1980,GRE,178.0,Q932583,Vasilis Mazarakis
3505,103506,R,1980,ARG,183.0,Q513713,Martin Vassallo Arguello
3506,103507,R,1980,ESP,183.0,Q185722,Juan Carlos Ferrero
3507,103508,R,1980,RSA,,,Nick McDonald
3508,103509,U,1980,AUS,,,Dino Dattoli
3509,103510,R,1980,CAN,,Q107462527,Rob Steckley
3510,103511,R,1980,ESP,,,Jose Ezequiel Lido
3511,103512,R,1980,CRO,,,Ivan Cinkus
3512,103513,R,1980,AUS,,,Glenn Knox
3513,103514,R,1980,KOR,,Q55364046,Young Jun Kim
3514,103515,R,1980,POL,,,Filip Aniola
3515,103516,R,1980,AUS,180.0,Q531724,Nathan Healey
3516,103517,U,1980,GER,,,Andreas Maroldt
3517,103518,R,1980,FRA,,,Cyril Martin
3518,103519,U,1980,POL,,,Krzysztof Kwinta
3519,103520,L,1980,CZE,190.0,Q7155817,Pavel Snobel
3520,103521,R,1980,ITA,190.0,Q4755289,Andrea Stoppini
3521,103522,U,1980,ITA,,,Nahuel Fracassi
3522,103523,R,1980,IND,193.0,Q511986,Rohan Bopanna
3523,103524,R,1980,ARG,,Q5274890,Diego Alvarez
3524,103525,R,1980,PER,175.0,Q734183,Ivan Miranda
3525,103526,U,1980,ARG,,,Diego Zorzi
3526,103527,R,1980,FRA,188.0,Q3189535,Julien Jeanpierre
3527,103528,U,1980,GER,,,Julian Gast
3528,103529,R,1980,PAK,183.0,Q409547,Aisam Ul Haq Qureshi
3529,103530,R,1980,USA,188.0,Q4179332,Zack Fleishman
