,ranking_date,rank,player,points
90179,2024-12-30,1,206173,11830
90180,2024-12-30,2,100644,7915
90181,2024-12-30,3,207989,7010
90182,2024-12-30,4,126203,5100
90183,2024-12-30,5,106421,5030
90184,2024-12-30,6,134770,4255
90185,2024-12-30,7,104925,3910
90186,2024-12-30,8,126094,3760
90187,2024-12-30,9,200282,3745
90188,2024-12-30,10,105777,3350
90189,2024-12-30,11,126774,3165
90190,2024-12-30,12,126205,3145
90191,2024-12-30,13,208029,3025
90192,2024-12-30,14,200005,2765
90193,2024-12-30,15,207733,2685
90194,2024-12-30,16,128034,2640
90195,2024-12-30,17,207518,2600
90196,2024-12-30,18,126207,2585
90197,2024-12-30,19,111575,2410
90198,2024-12-30,20,209950,2355
90199,2024-12-30,21,210097,2330
90200,2024-12-30,22,200624,1985
90201,2024-12-30,23,126214,1943
90202,2024-12-30,24,200615,1865
90203,2024-12-30,25,207830,1758
90204,2024-12-30,26,111442,1745
90205,2024-12-30,27,202104,1690
90206,2024-12-30,28,208103,1660
90207,2024-12-30,29,200000,1635
90208,2024-12-30,30,202103,1620
90209,2024-12-30,31,208659,1561
90210,2024-12-30,32,207925,1472
90211,2024-12-30,33,122330,1420
90212,2024-12-30,34,126610,1380
90213,2024-12-30,35,111797,1370
90214,2024-12-30,36,132686,1355
90215,2024-12-30,37,208286,1345
90216,2024-12-30,38,206909,1335
90217,2024-12-30,39,144869,1315
90218,2024-12-30,40,134868,1280
90219,2024-12-30,41,210506,1245
90220,2024-12-30,42,105526,1240
90221,2024-12-30,43,124079,1205
90222,2024-12-30,44,209260,1198
90223,2024-12-30,45,111190,1155
90224,2024-12-30,46,106218,1150
90225,2024-12-30,47,208363,1148
90226,2024-12-30,48,210150,1136
90227,2024-12-30,49,111815,1119
90228,2024-12-30,50,209992,1115
90229,2024-12-30,51,105138,1104
90230,2024-12-30,52,105676,1037
90231,2024-12-30,53,132283,1026
90232,2024-12-30,54,200175,1021
90233,2024-12-30,55,104792,1005
90234,2024-12-30,56,133430,981
90235,2024-12-30,57,106148,981
90236,2024-12-30,58,206681,935
