,tournament_id,tournament_name,tournament_level,tournament_date,surface,draw_size
140384,ATP_2004-807,Acapulco,A,2004-01-03,Clay,32.0
196380,ATP_2024-8998,Adelaide,A,2024-08-01,Hard,32.0
148048,ATP_2007-339,Adelaide,A,2007-01-01,Hard,32.0
125058,ATP_2000-339,Adelaide,A,2000-03-01,Hard,32.0
128421,ATP_2001-339,Adelaide,A,2001-01-01,Hard,32.0
144828,ATP_2006-339,Adelaide,A,2006-02-01,Hard,32.0
138198,ATP_2004-339,Adelaide,A,2004-05-01,Hard,32.0
141533,ATP_2005-339,Adelaide,A,2005-03-01,Hard,32.0
193359,ATP_2023-2843,Adelaide 1,A,2023-02-01,Hard,32.0
190448,ATP_2022-8998,Adelaide 1,A,2022-03-01,Hard,32.0
193444,ATP_2023-8998,Adelaide 2,A,2023-09-01,Hard,32.0
190502,ATP_2022-9667,Adelaide 2,A,2022-10-01,Hard,32.0
137902,ATP_2004-317,Amersfoort,A,2004-12-07,Clay,32.0
190011,ATP_2021-9426,Antalya,A,2021-05-01,Hard,32.0
192759,ATP_2022-9410,Astana,A,2022-03-10,Hard,32.0
176752,ATP_2016-6116,Atlanta,A,2016-01-08,Hard,32.0
125543,ATP_2000-409,Atlanta,A,2000-10-04,Clay,32.0
189818,ATP_2021-8888,Atp Cup,A,2021-02-02,Hard,12.0
190394,ATP_2022-8888,Atp Cup,A,2022-03-01,Hard,16.0
186199,ATP_2020-8888,Atp Cup,A,2020-06-01,Hard,24.0
140949,ATP_2005-301,Auckland,A,2005-10-01,Hard,32.0
134443,ATP_2003-301,Auckland,A,2003-06-01,Hard,32.0
171813,ATP_2015-301,Auckland,A,2015-12-01,Hard,28.0
144244,ATP_2006-301,Auckland,A,2006-09-01,Hard,32.0
159925,ATP_2011-301,Auckland,A,2011-10-01,Hard,28.0
168885,ATP_2014-301,Auckland,A,2014-06-01,Hard,28.0
177670,ATP_2017-0301,Auckland,A,2017-09-01,Hard,32.0
124467,ATP_2000-301,Auckland,A,2000-10-01,Hard,32.0
156895,ATP_2010-301,Auckland,A,2010-11-01,Hard,28.0
131199,ATP_2002-301,Auckland,A,2002-07-01,Hard,32.0
162936,ATP_2012-301,Auckland,A,2012-09-01,Hard,28.0
150699,ATP_2008-301,Auckland,A,2008-07-01,Hard,32.0
174729,ATP_2016-0301,Auckland,A,2016-11-01,Hard,32.0
137661,ATP_2004-301,Auckland,A,2004-12-01,Hard,32.0
193417,ATP_2023-0301,Auckland,A,2023-09-01,Hard,32.0
196407,ATP_2024-0301,Auckland,A,2024-08-01,Hard,32.0
147511,ATP_2007-301,Auckland,A,2007-08-01,Hard,32.0
127845,ATP_2001-301,Auckland,A,2001-08-01,Hard,32.0
180581,ATP_2018-0301,Auckland,A,2018-08-01,Hard,32.0
153830,ATP_2009-301,Auckland,A,2009-12-01,Hard,28.0
165941,ATP_2013-301,Auckland,A,2013-07-01,Hard,28.0
183478,ATP_2019-0301,Auckland,A,2019-07-01,Hard,32.0
189467,ATP_2021-580,Australian Open,G,2021-08-02,Hard,128.0
159732,ATP_2010-328,Basel,A,2010-01-11,Hard,32.0
154094,ATP_2009-328,Basel,A,2009-02-11,Hard,32.0
167689,ATP_2013-316,Bastad,A,2013-08-07,Clay,28.0
131409,ATP_2002-316,Bastad,A,2002-08-07,Clay,32.0
137871,ATP_2004-316,Bastad,A,2004-05-07,Clay,32.0
176412,ATP_2016-0316,Bastad,A,2016-11-07,Clay,32.0
164727,ATP_2012-316,Bastad,A,2012-09-07,Clay,28.0
141159,ATP_2005-316,Bastad,A,2005-04-07,Clay,32.0
144454,ATP_2006-316,Bastad,A,2006-10-07,Clay,32.0
150901,ATP_2008-316,Bastad,A,2008-07-07,Clay,28.0
192065,ATP_2022-0316,Bastad,A,2022-11-07,Clay,32.0
124677,ATP_2000-316,Bastad,A,2000-10-07,Clay,32.0
134653,ATP_2003-316,Bastad,A,2003-07-07,Clay,32.0
158722,ATP_2010-316,Bastad,A,2010-12-07,Clay,28.0
147721,ATP_2007-316,Bastad,A,2007-09-07,Clay,32.0
187837,ATP_2021-0316,Bastad,A,2021-12-07,Clay,32.0
161738,ATP_2011-316,Bastad,A,2011-11-07,Clay,28.0
128055,ATP_2001-316,Bastad,A,2001-09-07,Clay,32.0
170624,ATP_2014-316,Bastad,A,2014-07-07,Clay,28.0
177259,ATP_2016-M015,Beijing,A,2016-03-10,Hard,32.0
180145,ATP_2017-M015,Beijing,A,2017-02-10,Hard,32.0
183044,ATP_2018-M015,Beijing,A,2018-01-10,Hard,32.0
143645,ATP_2005-747,Beijing,A,2005-12-09,Hard,32.0
162487,ATP_2011-747,Beijing,A,2011-03-10,Hard,32.0
150102,ATP_2007-747,Beijing,A,2007-10-09,Hard,32.0
156339,ATP_2009-747,Beijing,A,2009-05-10,Hard,32.0
165530,ATP_2012-747,Beijing,A,2012-01-10,Hard,32.0
174315,ATP_2015-747,Beijing,A,2015-05-10,Hard,32.0
146935,ATP_2006-747,Beijing,A,2006-11-09,Hard,32.0
159445,ATP_2010-747,Beijing,A,2010-04-10,Hard,32.0
153314,ATP_2008-96,Beijing Olympics,A,2008-11-08,Hard,64.0
155561,ATP_2009-5053,Belgrade,A,2009-04-05,Clay,28.0
158020,ATP_2010-5053,Belgrade,A,2010-03-05,Clay,28.0
199029,ATP_2024-4787,Belgrade,A,2024-04-11,Hard,28.0
125183,ATP_2000-359,Bogota,A,2000-06-03,Clay,32.0
180496,ATP_2018-M020,Brisbane,A,2018-01-01,Hard,32.0
174644,ATP_2016-M020,Brisbane,A,2016-04-01,Hard,32.0
177585,ATP_2017-M020,Brisbane,A,2017-02-01,Hard,32.0
156802,ATP_2010-339,Brisbane,A,2010-03-01,Hard,32.0
154261,ATP_2009-339,Brisbane,A,2009-04-01,Hard,32.0
171701,ATP_2015-339,Brisbane,A,2015-04-01,Hard,28.0
162847,ATP_2012-339,Brisbane,A,2012-01-01,Hard,32.0
159832,ATP_2011-339,Brisbane,A,2011-02-01,Hard,32.0
196297,ATP_2024-0339,Brisbane,A,2024-01-01,Hard,32.0
133934,ATP_2002-773,Bucharest,A,2002-09-09,Clay,32.0
150133,ATP_2007-773,Bucharest,A,2007-10-09,Clay,32.0
