,player_id,hand,year_of_birth,ioc,height,wikidata_id,player_name
2,200001,R,1980,SUI,170.0,Q134720,Martina Hingis
3,200002,R,1982,CRO,181.0,Q239686,Mirjana Lucic
4,200003,R,1982,BEL,167.0,Q11682,Justine Henin
9,200008,R,1981,AUS,182.0,Q232922,Alicia Molik
12,200011,R,1981,SLO,180.0,Q229116,Katarina Srebotnik
34,200033,R,1981,USA,175.0,Q11459,Serena Williams
44,200043,R,1983,FRA,173.0,Q220425,Virginie Razzano
57,200056,L,1981,CRO,168.0,Q233556,Jelena Kostanic Tosic
70,200069,R,1982,RUS,178.0,Q11659,Nadia Petrova
80,200079,R,1983,BEL,175.0,Q11685,Kim Clijsters
84,200083,R,1980,USA,185.0,Q241637,Alexandra Stevenson
93,200092,R,1980,SCG,,Q2277033,Sandra Nacuk
103,200102,R,1982,AUS,,,Melissa Dowse
104,200103,R,1980,AUS,173.0,Q468237,Evie Dominikovic
109,200108,R,1981,RUS,180.0,Q11667,Elena Dementieva
112,200111,R,1984,RUS,174.0,Q2419020,Lina Krasnoroutskaya
114,200113,R,1981,RUS,173.0,Q131120,Anna Kournikova
116,200115,R,1980,USA,175.0,Q849668,Brie Rippner
121,200120,R,1983,AUS,175.0,Q283958,Jelena Dokic
123,200122,R,1981,SLO,172.0,Q287267,Tina Pisnik
124,200123,R,1980,GER,174.0,Q70284,Marlene Weingartner
127,200126,R,1980,USA,170.0,,Marissa Irvin
749,200748,R,1980,USA,185.0,Q11578,Venus Williams
753,200752,R,1980,ROU,177.0,Q7288404,Raluca Sandu
765,200764,R,1983,RUS,189.0,Q233408,Elena Bovina
767,200766,R,1981,USA,170.0,Q3177071,Jennifer Hopkins
771,200770,R,1983,FRA,175.0,Q235543,Stephanie Cohen Aloro
773,200772,R,1981,RUS,174.0,Q203591,Anastasia Myskina
774,200773,R,1981,FRA,166.0,Q232893,Stephanie Foretz Gacon
778,200777,R,1983,ESP,173.0,Q264538,Marta Marrero
1078,201077,R,1981,FRA,,Q82092,Sophie Lefevre
1080,201079,R,1982,GBR,,Q18592844,Hannah Collin
1084,201083,R,1983,CZE,171.0,Q545299,Daja Bedanova
1085,201084,R,1980,BLR,177.0,Q6453726,Nadejda Ostrovskaya
1205,201204,R,1982,UZB,170.0,Q264521,Iroda Tulyaganova
1207,201206,R,1980,USA,180.0,,Allison Bradshaw
1208,201207,R,1982,USA,170.0,Q771501,Ansley Cargill
1211,201210,R,1984,USA,,,Kristen Schlukebir
1213,201212,R,1980,ITA,166.0,Q188107,Francesca Schiavone
1281,201280,R,1980,USA,,,Jacqueline Trail
1282,201281,R,1981,USA,175.0,Q258939,Laura Granville
1286,201285,R,1982,USA,170.0,,Melissa Middleton
1287,201286,R,1982,ESP,169.0,Q219724,Anabel Medina Garrigues
1288,201287,L,1982,ESP,176.0,Q230253,Maria Jose Martinez Sanchez
1290,201289,R,1982,AUS,161.0,Q684503,Christina Wheeler
1291,201290,R,1983,SVK,181.0,Q52430,Daniela Hantuchova
1292,201291,R,1980,ESP,156.0,Q234841,Nuria Llagostera Vives
1293,201292,R,1980,SVK,170.0,Q232315,Martina Sucha
1295,201294,R,1984,FRA,170.0,Q105838,Marion Bartoli
1296,201295,R,1981,INA,160.0,Q425634,Wynne Prakusya
1297,201296,R,1982,GER,184.0,Q67242,Bianka Lamade
1298,201297,L,1980,SLO,175.0,Q783615,Maja Matevzic
1299,201298,R,1981,HUN,173.0,Q731420,Zsofia Gubacsi
1301,201300,R,1983,ARG,174.0,Q271748,Maria Emilia Salerni
1302,201301,R,1981,FRA,162.0,Q427761,Camille Pin
1303,201302,L,1981,ARG,179.0,Q867798,Clarisa Fernandez
1304,201303,R,1983,GBR,175.0,Q232594,Anne Keothavong
1305,201304,R,1983,GBR,175.0,Q232680,Elena Baltacha
1306,201305,R,1982,GRE,182.0,Q229315,Eleni Daniilidou
1307,201306,R,1984,SUI,172.0,Q655529,Marie Gaiane Mikaelian
1308,201307,R,1984,USA,,,Amber Liu
1309,201308,R,1982,ITA,164.0,Q232582,Maria Elena Camerin
1310,201309,R,1982,UKR,173.0,Q259312,Tatiana Perebiynis
1311,201310,R,1982,GER,165.0,Q58742,Martina Muller
1312,201311,R,1983,ITA,163.0,Q95162,Roberta Vinci
1313,201312,R,1981,USA,,,Sarah Taylor
1315,201314,U,1980,GER,,,Nina Duebbers
1316,201315,R,1985,USA,165.0,Q30778,Ashley Harkleroad
1317,201316,R,1984,SVK,,,Lenka Dlhopolcova
1318,201317,R,1983,HUN,173.0,Q281949,Aniko Kapros
1319,201318,R,1985,USA,168.0,Q54537,Bethanie Mattek Sands
