,ranking_date,rank,player,points,tours
72162,2024-12-30,1,214544,9416,21
72163,2024-12-30,2,216347,8295,18
72164,2024-12-30,3,221103,6530,22
72165,2024-12-30,4,211148,5344,20
72166,2024-12-30,5,221012,5340,21
72167,2024-12-30,6,214981,5171,20
72168,2024-12-30,7,202468,4705,19
72169,2024-12-30,8,215613,3589,25
72170,2024-12-30,9,214082,3368,24
72171,2024-12-30,10,206252,3214,17
72172,2024-12-30,11,203389,3178,19
72173,2024-12-30,12,211651,2908,20
72174,2024-12-30,13,223670,2895,27
72175,2024-12-30,14,214939,2743,20
72176,2024-12-30,15,211533,2588,21
72177,2024-12-30,16,259799,2578,17
72178,2024-12-30,17,206242,2554,26
72179,2024-12-30,18,216146,2493,21
72180,2024-12-30,19,202499,2258,21
72181,2024-12-30,20,201458,2127,17
72182,2024-12-30,21,201619,2126,16
72183,2024-12-30,22,214096,1971,12
72184,2024-12-30,23,202494,1942,17
72185,2024-12-30,24,211107,1931,23
72186,2024-12-30,25,211684,1928,29
72187,2024-12-30,26,222328,1913,18
72188,2024-12-30,27,214643,1885,24
72189,2024-12-30,28,206420,1848,26
72190,2024-12-30,29,201709,1844,22
72191,2024-12-30,30,201499,1807,20
72192,2024-12-30,31,220367,1755,23
72193,2024-12-30,32,206289,1743,17
72194,2024-12-30,33,215035,1565,21
72195,2024-12-30,34,210722,1554,25
72196,2024-12-30,35,215713,1482,22
72197,2024-12-30,36,216153,1461,15
72198,2024-12-30,37,216133,1418,26
72199,2024-12-30,38,202663,1376,26
72200,2024-12-30,39,214954,1363,14
72201,2024-12-30,40,215138,1300,20
72202,2024-12-30,41,201662,1265,20
72203,2024-12-30,42,202460,1226,16
72204,2024-12-30,43,220589,1182,23
72205,2024-12-30,44,213631,1178,27
72206,2024-12-30,45,211701,1177,27
72207,2024-12-30,46,211685,1166,24
72208,2024-12-30,47,220548,1139,27
72209,2024-12-30,48,201614,1099,17
72210,2024-12-30,49,206294,1082,29
72211,2024-12-30,50,220704,1070,25
72212,2024-12-30,51,215337,1055,18
72213,2024-12-30,52,220714,1048,25
72214,2024-12-30,53,202600,1047,29
72215,2024-12-30,54,222601,1046,26
72216,2024-12-30,55,211843,1030,25
72217,2024-12-30,56,221054,1025,14
72218,2024-12-30,57,211768,1014,17
72219,2024-12-30,58,220465,991,25
72220,2024-12-30,59,215785,989,23
72221,2024-12-30,60,215872,987,32
72222,2024-12-30,61,206374,983,24
72223,2024-12-30,62,220416,981,29
72224,2024-12-30,63,220348,979,25
72225,2024-12-30,64,221909,969,25
72226,2024-12-30,65,210886,955,25
72227,2024-12-30,66,219875,949,27
72228,2024-12-30,67,220520,924,24
72229,2024-12-30,68,203501,916,18
72230,2024-12-30,69,201514,914,17
72231,2024-12-30,70,201496,908,13
72232,2024-12-30,71,211095,896,24
72233,2024-12-30,72,206368,888,27
72234,2024-12-30,73,214459,887,30
72235,2024-12-30,74,201585,882,25
72236,2024-12-30,75,213887,882,32
72237,2024-12-30,76,201551,871,32
72238,2024-12-30,77,215020,866,32
72239,2024-12-30,78,214452,864,26
72240,2024-12-30,79,201593,853,15
72241,2024-12-30,80,201696,851,21
72242,2024-12-30,81,213550,848,25
72243,2024-12-30,82,219917,841,33
72244,2024-12-30,83,222965,838,27
72245,2024-12-30,84,222661,836,16
72246,2024-12-30,85,211713,832,26
72247,2024-12-30,86,213583,826,36
72248,2024-12-30,87,215480,821,30
72249,2024-12-30,88,220309,818,24
72250,2024-12-30,89,215898,816,26
72251,2024-12-30,90,203530,814,21
72252,2024-12-30,91,203463,813,32
72253,2024-12-30,92,221024,805,26
72254,2024-12-30,93,214388,800,35
72255,2024-12-30,94,214604,797,30
72256,2024-12-30,95,213889,791,29
72257,2024-12-30,96,215983,787,28
72258,2024-12-30,97,216265,781,26
72259,2024-12-30,98,216016,774,27
72260,2024-12-30,99,216262,770,28
72261,2024-12-30,100,206408,767,28
72262,2024-12-30,101,263857,762,26
72263,2024-12-30,102,201606,756,28
72264,2024-12-30,103,213710,755,25
72265,2024-12-30,104,211279,754,26
72266,2024-12-30,105,201506,717,21
72267,2024-12-30,106,204427,714,25
72268,2024-12-30,107,221236,701,35
72269,2024-12-30,108,201611,696,22
72270,2024-12-30,109,201548,691,18
72271,2024-12-30,110,203533,689,26
72272,2024-12-30,111,206219,682,23
72273,2024-12-30,112,220435,670,25
72274,2024-12-30,113,214040,654,30
72275,2024-12-30,114,202536,653,21
72276,2024-12-30,115,201615,648,23
26717,2024-05-13,116,202429,681,0
72277,2024-12-30,116,233741,645,29
72278,2024-12-30,117,221905,639,23
72279,2024-12-30,118,223331,635,22
72280,2024-12-30,119,221985,630,39
72281,2024-12-30,120,202684,601,20
72282,2024-12-30,121,211817,598,19
72283,2024-12-30,122,201549,597,24
72284,2024-12-30,123,203564,593,34
72285,2024-12-30,124,203354,592,32
72286,2024-12-30,125,222233,587,25
72287,2024-12-30,126,256684,580,28
72288,2024-12-30,127,220699,578,28
72289,2024-12-30,128,216081,576,25
72290,2024-12-30,129,201478,570,35
72291,2024-12-30,130,216566,567,28
72292,2024-12-30,131,220332,566,17
72293,2024-12-30,132,215370,563,10
72294,2024-12-30,133,211316,557,26
72295,2024-12-30,134,221096,552,22
72296,2024-12-30,135,213525,550,24
72297,2024-12-30,136,213544,545,22
72298,2024-12-30,137,214262,544,18
72299,2024-12-30,138,221237,535,22
72300,2024-12-30,139,220750,531,24
72301,2024-12-30,140,230870,530,31
72302,2024-12-30,141,213646,520,22
72303,2024-12-30,142,222045,518,26
72304,2024-12-30,143,205925,516,23
72305,2024-12-30,144,214119,506,29
72306,2024-12-30,145,211702,496,30
72307,2024-12-30,146,214593,494,27
72308,2024-12-30,147,223253,490,32
72309,2024-12-30,148,221883,487,28
72310,2024-12-30,149,206417,486,28
72311,2024-12-30,150,260170,478,22
72312,2024-12-30,151,222966,475,23
72313,2024-12-30,152,215936,474,19
72314,2024-12-30,153,232447,473,26
72315,2024-12-30,154,213666,471,26
72316,2024-12-30,155,215910,466,27
72317,2024-12-30,156,223286,465,28
72318,2024-12-30,157,215988,459,32
72319,2024-12-30,158,220742,459,32
72320,2024-12-30,159,221039,456,33
72321,2024-12-30,160,206007,444,32
72322,2024-12-30,161,239383,441,15
72323,2024-12-30,162,201586,440,21
72324,2024-12-30,163,221333,439,24
72325,2024-12-30,164,201613,434,32
72326,2024-12-30,165,215996,432,28
72327,2024-12-30,166,220662,432,29
72328,2024-12-30,167,211880,427,26
72329,2024-12-30,168,211337,424,31
72330,2024-12-30,169,215306,422,32
72331,2024-12-30,170,223194,419,28
72332,2024-12-30,171,201621,414,28
72333,2024-12-30,172,211635,413,31
72334,2024-12-30,173,210303,413,32
72335,2024-12-30,174,215899,409,28
72336,2024-12-30,175,214386,408,21
72337,2024-12-30,176,221407,406,18
72338,2024-12-30,177,252499,405,9
72339,2024-12-30,178,259104,398,12
72340,2024-12-30,179,214839,398,15
72341,2024-12-30,180,223323,391,30
72342,2024-12-30,181,214461,390,23
72343,2024-12-30,182,213908,381,25
72344,2024-12-30,183,215572,381,33
72345,2024-12-30,184,222290,380,25
72346,2024-12-30,185,236957,374,19
72347,2024-12-30,186,239389,367,21
72348,2024-12-30,187,204411,366,5
72349,2024-12-30,188,222017,363,27
72350,2024-12-30,189,260300,361,10
72351,2024-12-30,190,214507,360,24
72352,2024-12-30,191,221911,355,26
72353,2024-12-30,192,222258,354,30
72354,2024-12-30,193,223410,353,25
72355,2024-12-30,194,215018,352,28
72356,2024-12-30,195,211765,352,25
72357,2024-12-30,196,259967,352,25
72358,2024-12-30,197,213949,351,32
72359,2024-12-30,198,214826,350,23
72360,2024-12-30,199,215571,348,25
72361,2024-12-30,200,211260,346,21
72814,2024-12-30,201,203500,345,20
72815,2024-12-30,202,213779,345,30
72816,2024-12-30,203,222391,345,11
72817,2024-12-30,204,223333,343,29
54130,2024-09-23,205,201493,344,11
72818,2024-12-30,205,201533,340,15
72819,2024-12-30,206,215807,340,28
72820,2024-12-30,207,221434,337,20
72821,2024-12-30,208,213734,336,23
72822,2024-12-30,209,214521,334,26
72823,2024-12-30,210,201540,334,31
72824,2024-12-30,211,221257,332,27
72825,2024-12-30,212,215453,331,26
72826,2024-12-30,213,214480,330,32
72827,2024-12-30,214,222559,330,25
72828,2024-12-30,215,239156,329,24
72829,2024-12-30,216,222506,329,27
72830,2024-12-30,217,220733,328,38
72831,2024-12-30,218,213706,324,31
72832,2024-12-30,219,220554,324,22
72833,2024-12-30,220,215151,323,22
72834,2024-12-30,221,215259,323,29
72835,2024-12-30,222,214149,318,31
72836,2024-12-30,223,243420,317,24
72837,2024-12-30,224,211846,316,30
72838,2024-12-30,225,215290,315,30
72839,2024-12-30,226,203435,315,34
72840,2024-12-30,227,220781,315,28
72841,2024-12-30,228,203514,313,25
49966,2024-09-02,229,202421,315,0
72842,2024-12-30,229,221191,312,27
72843,2024-12-30,230,214453,310,30
72844,2024-12-30,231,222080,310,28
72845,2024-12-30,232,210622,309,21
72846,2024-12-30,233,213873,308,29
72847,2024-12-30,234,213998,308,30
72848,2024-12-30,235,206292,307,26
72849,2024-12-30,236,215946,302,33
72850,2024-12-30,237,213576,301,28
72851,2024-12-30,238,214236,301,22
72852,2024-12-30,239,238184,300,10
72853,2024-12-30,240,206255,297,25
72854,2024-12-30,241,215037,296,29
72855,2024-12-30,242,222919,291,27
72856,2024-12-30,243,221247,290,42
72857,2024-12-30,244,215064,290,30
72858,2024-12-30,245,216055,287,31
72859,2024-12-30,246,203475,286,33
72860,2024-12-30,247,236955,286,19
72861,2024-12-30,248,212303,283,35
72862,2024-12-30,249,211844,282,27
72863,2024-12-30,250,211411,278,12
72864,2024-12-30,251,210705,277,32
72865,2024-12-30,252,221124,277,28
72866,2024-12-30,253,214577,275,27
72867,2024-12-30,254,234222,274,22
72868,2024-12-30,255,220446,273,21
72869,2024-12-30,256,222675,272,22
72870,2024-12-30,257,211329,272,28
72871,2024-12-30,258,238075,270,17
72872,2024-12-30,259,215992,267,22
72873,2024-12-30,260,213849,265,29
72874,2024-12-30,261,204294,263,19
72875,2024-12-30,262,215062,263,18
72876,2024-12-30,263,220489,262,26
72877,2024-12-30,264,239436,260,28
72878,2024-12-30,265,252587,259,19
72879,2024-12-30,266,220735,259,31
72880,2024-12-30,267,215314,256,27
72881,2024-12-30,268,221406,256,22
72882,2024-12-30,269,214906,255,13
72883,2024-12-30,270,201616,253,17
72884,2024-12-30,271,221626,253,18
